StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q56,Q3,Q4_1,Q5_1,Q6,Q54,Q54_1_TEXT,Q55,Q11,Q11_1_TEXT,Q12,Q13,Q13_1_TEXT,Q14,Q15,Q15_1_TEXT,Q16,Q19,Q19_1_TEXT,Q20,Q21,Q21_1_TEXT,Q22,Q23,Q23_1_TEXT,Q24,Q27,Q27_1_TEXT,Q28,Q29,Q29_1_TEXT,Q30,Q37,Q37_1_TEXT,Q38,Q39,Q39_1_TEXT,Q40,Q43,Q43_1_TEXT,Q44,Q45,Q45_1_TEXT,Q46,Q47,Q47_1_TEXT,Q48,Q51,Q51_1_TEXT,Q52
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your participant ID:,Please summarize the story using as many details as you can remember.,Q4 - How much did you like this story?,Q5 - Did you feel engaged with this story?,Have you ever heard this story before?,Was the narrator a male or female? - Selected Choice,Was the narrator a male or female? - Enter answer: - Text,Was the narrator a male or female?,What was the gray-haired man’s name? - Selected Choice,What was the gray-haired man’s name? - Enter answer: - Text,What was the gray-haired man’s name?,What was the second man’s name? - Selected Choice,What was the second man’s name? - Enter answer: - Text,What was the second man’s name?,What was Arthur’s wife name? - Selected Choice,What was Arthur’s wife name? - Enter answer: - Text,What was Arthur’s wife name?,Why did Arthur call Lee? - Selected Choice,Why did Arthur call Lee? - Enter answer: - Text,Why did Arthur call Lee?,What did Arthur worry Joanie was doing? - Selected Choice,What did Arthur worry Joanie was doing? - Enter answer: - Text,What did Arthur worry Joanie was doing?,What did Lee say Joanie was probably doing? - Selected Choice,What did Lee say Joanie was probably doing? - Enter answer: - Text,What did Lee say Joanie was probably doing?,What did Lee advise Arthur to do? - Selected Choice,What did Lee advise Arthur to do? - Enter answer: - Text,What did Lee advise Arthur to do?,What did Lee think was Arthur’s problem? - Selected Choice,What did Lee think was Arthur’s problem? - Enter answer: - Text,What did Lee think was Arthur’s problem?,What did Arthur ask Lee towards the end of their first conversation? - Selected Choice,What did Arthur ask Lee towards the end of their first conversation? - Enter answer: - Text,"What did Arthur ask Lee towards the end of the
conversation?",What did Lee tell Arthur to do? - Selected Choice,What did Lee tell Arthur to do? - Enter answer: - Text,What did Lee tell Arthur to do?,What did the girl ask after Lee hung up? - Selected Choice,What did the girl ask after Lee hung up? - Enter answer: - Text,What did the girl ask after Lee hung up?,"What did the girl think about how Lee handled the
situation? - Selected Choice","What did the girl think about how Lee handled the
situation? - Enter answer: - Text","What did the girl think about how Lee handled the
situation?",What did Arthur tell Lee in the second phone call? - Selected Choice,What did Arthur tell Lee in the second phone call? - Enter answer: - Text,What did Arthur tell Lee in the second phone call?,"What did Arthur say about why Joanie had come back home
so late? - Selected Choice","What did Arthur say about why Joanie had come back home
so late? - Enter answer: - Text","What did Arthur say about why Joanie had come back home
so late?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID54""}","{""ImportId"":""QID54_1_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_1_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_1_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_1_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_1_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_1_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_1_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_1_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_1_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID37""}","{""ImportId"":""QID37_1_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_1_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_1_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID45_1_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_1_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID51""}","{""ImportId"":""QID51_1_TEXT""}","{""ImportId"":""QID52""}"
2018-09-21 07:49:56,2018-09-21 07:50:38,Survey Preview,,100,42,True,2018-09-21 07:50:39,R_oXhnN5Y0dB0fdkJ,,,,,43.0146942138671875,-81.304901123046875,preview,EN,,,,,,,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,3,,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,
2018-10-17 14:53:08,2018-10-17 14:58:39,IP Address,129.100.253.77,100,330,True,2018-10-17 14:58:39,R_1l3KqZ0eLxVXpcQ,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,,Dislike a great deal,Was engaged less than half the time,Maybe,Enter answer:,Male,,Enter answer:,Lee,,Enter answer:,Arthur,,Enter answer:,Jonie,,Enter answer:,Because he thought she was cheating,,Enter answer:,Cheating,,Enter answer:,Out drinking and having a good time,,Enter answer:,To go to bed,,Enter answer:,Paranoia,,Enter answer:,If he could come over for a drink,,Enter answer:,To go to bed,,Enter answer:,What did he say?,,Enter answer:,Fantastically,,I don't know,,That Joanie just came home,I don't know,,She went to drink and help her friends
2018-11-05 11:28:48,2018-11-05 11:57:44,IP Address,129.100.255.21,100,1736,True,2018-11-05 11:57:45,R_1GB5Gu9ruF84JkB,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,'-phone call - wife is missing and the husband is looking for her says she is sleeping around,Dislike a great deal,Was not engaged at all,No,Enter answer:,male,,I don't know,,Lee,I don't know,,Alan,I don't know,,Joanie,Enter answer:,couldnt find wife,,Enter answer:,sleeping around,,I don't know,,He said that Joanie probably went with the Ellenbogens to another place,I don't know,,To get in bed and relax,I don't know,,That he was torturing himself and being paranoid,I don't know,,If he could come over to Lee’s place,I don't know,,"That it was better for Arthur to be there, when Joanie comes back home",I don't know,,“What did he say?”,I don't know,,That he handled it very well,I don't know,,That Joanie just came home,I don't know,,She went to drink and help her friends
2018-11-05 14:52:03,2018-11-05 15:18:44,IP Address,129.100.255.21,100,1601,True,2018-11-05 15:18:44,R_OfIhZXOvwOixtU5,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,,Neither like nor dislike,Was engaged more than half the time,No,Enter answer:,Male,,,,,I don't know,,Alan,I don't know,,Joanie,Enter answer:,wondering where his wife was,,Enter answer:,was with another man,,I don't know,,He said that Joanie probably went with the Ellenbogens to another place,Enter answer:,go to bed and wait,,Enter answer:,worrying too much,,I don't know,,If he could come over to Lee’s place,Enter answer:,go to bed,,Enter answer:,what did he say,,I don't know,,That he handled it very well,I don't know,,That Joanie just came home,I don't know,,She went to drink and help her friends
2018-11-07 11:55:51,2018-11-07 12:17:10,IP Address,129.100.255.21,100,1278,True,2018-11-07 12:17:10,R_YPN0UgbmQdGqCQ1,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,I dont remember this story,Neither like nor dislike,Was engaged less than half the time,No,,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,,I don't know,,
2018-11-07 15:01:50,2018-11-07 15:31:09,IP Address,129.100.255.21,100,1758,True,2018-11-07 15:31:09,R_ZvOOVDJ8yknG50J,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,,Dislike a great deal,Was engaged less than half the time,No,Enter answer:,"male ",,I don't know,,Louis,I don't know,,Arthur,I don't know,,Joanie,Enter answer:,he thinks his wife is cheating on him. She didn't arrive home with him. He was waiting a long time for her.,,Enter answer:,"cheating on him ",,I don't know,,He said that Joanie probably went with the Ellenbogens to another place,Enter answer:,get underdressed and go to bed to calm down.,,I don't know,,That he was torturing himself and being paranoid,Enter answer:,"He wanted to come over to his place to have a drink ",,Enter answer:,Stay at his place and wait for his wife. Ak,,Enter answer:,"""what did he say""",,Enter answer:,he handled it great,,Enter answer:,that his wife came home,,I don't know,,She was with another man
2018-11-12 13:55:53,2018-11-12 14:44:51,IP Address,129.100.255.21,100,2938,True,2018-11-12 14:44:51,R_1g6E56rCwmQBdJf,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M105,,Neither like nor dislike,Was engaged less than half the time,No,,,,I don't know,,,I don't know,,Alan,I don't know,,,I don't know,,"Because Joanie didn’t come home, and he wanted to know if Lee noticed when she left",I don't know,,He thought Joanie was cheating on him,I don't know,,He said that Joanie probably didn’t find a cab and waited for a ride back home,I don't know,,To get in bed and relax,I don't know,,,I don't know,,,I don't know,,"That he was tired, and rather go to sleep",I don't know,,,I don't know,,,I don't know,,,I don't know,,
2018-11-14 09:55:34,2018-11-14 12:02:14,IP Address,129.100.247.74,100,7599,True,2018-11-14 12:02:14,R_296RX6FK6Z0Zm1c,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,"M106 ",grey hair man,Dislike a great deal,Was engaged less than half the time,No,Enter answer:,male,,I don't know,,Louis,I don't know,,Arthur,I don't know,,Rose,I don't know,,"Because Joanie didn’t come home, and he wanted to know if she was at Lee’s house",I don't know,,He thought Joanie was cheating on him,I don't know,,He said that Joanie probably went with the Ellenbogens to another place,I don't know,,To get in bed and relax,I don't know,,That he was torturing himself and being paranoid,I don't know,,If he could come over to Lee’s place,I don't know,,"That it was better for Arthur to be there, when Joanie comes back home",I don't know,,“What did he say?”,I don't know,,That he should have been more assertive,I don't know,,That Joanie just came home,I don't know,,She was with another man
