StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q38,Q3,Q4_1,Q5_1,Q6,Q55,Q55_3_TEXT,Q56,Q8,Q8_1_TEXT,Q9,Q10,Q10_1_TEXT,Q11,Q14,Q14_1_TEXT,Q15,Q20,Q20_1_TEXT,Q21,Q22,Q22_1_TEXT,Q23,Q24,Q24_1_TEXT,Q25,Q28,Q28_1_TEXT,Q29,Q30,Q30_1_TEXT,Q31,Q34,Q34_1_TEXT,Q35,Q36,Q36_1_TEXT,Q37,Q38,Q38_1_TEXT,Q39,Q40,Q40_1_TEXT,Q41,Q44,Q44_1_TEXT,Q45,Q46,Q46_1_TEXT,Q47,Q50,Q50_1_TEXT,Q51
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your ID:,Please summarize the story using as many details as you can remember.,Q4 - How much did you like this story?,Q5 - Did you feel engaged with this story?,Have you ever heard this story before?,Was the main character a male or a female? - Selected Choice,Was the main character a male or a female? - Enter answer: - Text,Was the main character a male or a female?,What was the main character’s name? - Selected Choice,What was the main character’s name? - Enter answer: - Text,What was the main character’s name?,Who did Rachel talk to on the phone? - Selected Choice,Who did Rachel talk to on the phone? - Enter answer: - Text,Who did Rachel talk to on the phone?,What was the name of the program Rachel participated in? - Selected Choice,What was the name of the program Rachel participated in? - Enter answer: - Text,What was the name of the program Rachel participated in?,What was the name of the psychic? - Selected Choice,What was the name of the psychic? - Enter answer: - Text,What was the name of the psychic?,What did the psychic do in addition to fortune telling? - Selected Choice,What did the psychic do in addition to fortune telling? - Enter answer: - Text,What did the psychic do in addition to fortune telling?,What was Rachel’s favorite book? - Selected Choice,What was Rachel’s favorite book? - Enter answer: - Text,What was Rachel’s favorite book?,Did the psychic resemble a magician? - Selected Choice,Did the psychic resemble a magician? - Enter answer: - Text,Did the psychic resemble a magician?,What day does the psychic love? - Selected Choice,What day does the psychic love? - Enter answer: - Text,What day does the psychic love?,What did Rachel say was bothering her? - Selected Choice,What did Rachel say was bothering her? - Enter answer: - Text,What did Rachel say was bothering her?,Rachel was afraid she will panic during what? - Selected Choice,Rachel was afraid she will panic during what? - Enter answer: - Text,Rachel was afraid she will panic during what?,The psychic asked Rachel if she liked ______? - Selected Choice,The psychic asked Rachel if she liked ______? - Enter answer: - Text,The psychic asked Rachel if she liked ______?,"What did the psychic use to tell Rachel her
fortune? - Selected Choice","What did the psychic use to tell Rachel her
fortune? - Enter answer: - Text",What did the psychic use to tell Rachel her fortune?,How did Rachel feel when she left the psychic's clinic? - Selected Choice,How did Rachel feel when she left the psychic's clinic? - Enter answer: - Text,How did Rachel feel when she left the psychic's clinic?,Who went with Rachel to the American Idol finals? - Selected Choice,Who went with Rachel to the American Idol finals? - Enter answer: - Text,Who went with Rachel to the American Idol finals?,Where did Simon say he had to go? - Selected Choice,Where did Simon say he had to go? - Enter answer: - Text,Where did Simon say he had to go?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID55""}","{""ImportId"":""QID55_3_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_1_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_1_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_1_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_1_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_1_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_1_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_1_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID30_1_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_1_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_1_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_1_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID40_1_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_1_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID44_1_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID48""}","{""ImportId"":""QID48_1_TEXT""}","{""ImportId"":""QID49""}"
2018-09-21 07:36:54,2018-09-21 07:37:55,Survey Preview,,100,61,True,2018-09-21 07:37:55,R_2R3L4SKOIQFn8YK,,,,,43.0146942138671875,-81.304901123046875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't know,,,,,,,,,,,,,,
2018-10-15 08:57:08,2018-10-17 14:20:59,IP Address,129.100.253.77,100,192231,True,2018-10-17 14:21:00,R_1QhAlyqbssBOago,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,,,,,Enter answer:,Female,,Enter answer:,Rachel,,Enter answer:,Her mother,,Enter answer:,American Idol,,Enter answer:,Hermeine,,Enter answer:,Pedicures,,Enter answer:,Harry potter,,Enter answer:,Yes,,Enter answer:,Tuesday,,Enter answer:,Simon,,Enter answer:,Her performance,,Enter answer:,Vodka martinis,,Enter answer:,A vodka bottle,,Enter answer:,Sick,,Enter answer:,Her mother,,Enter answer:,To the bathroom,
2018-11-05 11:27:46,2018-11-05 11:39:44,IP Address,129.100.255.21,100,718,True,2018-11-05 11:39:44,R_1mQ8WtYkSR2y9Sj,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,"'-girl in the final to american idol - mother super supportive about all her accomplishment including her birth -sees psyhic who is the closest to her, she does pedicute and reading - vodka - vodka bottle- scared of simon cowlell dreams of him- throws up on her shoes",Dislike a great deal,Was not engaged at all,No,Enter answer:,female,,Enter answer:,Rachel,,Enter answer:,mother and psyhic,,Enter answer:,American Idol,,,,Hermione,Enter answer:,pedicure,,Enter answer:,harry potter,,Enter answer:,yes,,Enter answer:,tuesday,,Enter answer:,simon,,Enter answer:,"final ",,Enter answer:,vodka,,Enter answer:,vodka bottle,,Enter answer:,sick,,Enter answer:,mom,,Enter answer:,dressing room,
2018-11-05 14:51:07,2018-11-05 15:06:57,IP Address,129.100.255.21,100,950,True,2018-11-05 15:06:58,R_3kbTUQoIdk21pdY,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,,Like somewhat,Was engaged half of the time,No,Enter answer:,female,,Enter answer:,Rachel,,Enter answer:,her mom,,Enter answer:,American Idol,,Enter answer:,"Herminie ",,Enter answer:,pedicures,,Enter answer:,Harry Potter,,,,,,,Tuesdays,Enter answer:,Hearing and seeing Simon everywhere,,Enter answer:,Her performance on stage during American Idol,,I don't know,,Vodka,,,A tiny vodka bottle,Enter answer:,worse than before,,Enter answer:,her mom,,,,Dressing room
2018-11-07 11:55:04,2018-11-07 12:06:22,IP Address,129.100.255.21,100,677,True,2018-11-07 12:06:22,R_QaD8EXPLICH0p2h,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,"Some girl goes to a psychic for performance anxiety. She is a competitor on American Idol, and she also brags a lot about her accomplishments. The psychic tells her to watch the vodka, so she buys a vodka martini and puts it in her pocket. She then sees Simon Cowell at practice for American Idol and asks him about vodka. Then, she goes and meets with Hermione from Harry Potter.",Neither like nor dislike,Was engaged more than half the time,No,Enter answer:,female,,,,Rachel,,,Her mother,Enter answer:,American Idol,,,,Hermione,Enter answer:,pedicures,,Enter answer:,Harry Potter,,Enter answer:,yes,,,,,Enter answer:,stage fright,,Enter answer:,her performance,,Enter answer:,vodka,,Enter answer:,vodka bottle,,Enter answer:,bad,,Enter answer:,her mom,,,,Dressing room
2018-11-07 15:01:12,2018-11-07 15:09:57,IP Address,129.100.255.21,100,525,True,2018-11-07 15:09:58,R_1fdNHH7Kt1PypuO,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,,Dislike somewhat,Was engaged more than half the time,No,Enter answer:,"female ",,,,Rachel,Enter answer:,"mother ",,Enter answer:,"american idol ",,,,Hermione,Enter answer:,"pedicures ",,,,“Harry Potter”,Enter answer:,yes,,,,,Enter answer:,"meeting simon/ preforming infront of him  ",,Enter answer:,"the finals ",,Enter answer:,"vodak ",,Enter answer:,"vodka bottle ",,Enter answer:,terriable/ she was in worse condition then before,,Enter answer:,"her mother ",,,,Dressing room
2018-11-12 13:54:32,2018-11-12 14:34:47,IP Address,129.100.255.21,100,2415,True,2018-11-12 14:34:48,R_aeLKAEv0il1uYPn,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M105,Girl goes to fortune teller named Hermoine and the treatment is vodka. She is a contestant on American Idol.,Neither like nor dislike,Was engaged half of the time,No,Enter answer:,female,,,,Rachel,Enter answer:,"mom,",,Enter answer:,American idol,,Enter answer:,Hermoine,,,,,,,“Harry Potter”,,,,,,,Enter answer:,seeing simon everywhere,,Enter answer:,Her audition,,Enter answer:,vodka,,,,A tiny vodka bottle,Enter answer:,worse,,,,Her mom,Enter answer:,dressing room,
2018-11-14 09:54:43,2018-11-14 11:45:52,IP Address,129.100.247.74,100,6669,True,2018-11-14 11:45:53,R_s6S9ge36jQ7BjDr,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M106,"Psychic, Simon Cowell, American Idol, Vodka bottle, Girl, Mother, nervous",Neither like nor dislike,Was engaged half of the time,No,Enter answer:,Female,,,,Rachel,,,Her mother,Enter answer:,American idol,,,,Hermione,,,Manicure,,,“Wizard of Oz”,Enter answer:,Yes,,,,Tuesdays,Enter answer:,Simon Cowell,,Enter answer:,Her audition,,Enter answer:,Vodka,,Enter answer:,Vodka bottle,,Enter answer:,More Nervous,,Enter answer:,Mother,,,,Dressing room
