StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q40,Q3,Q4_1,Q5_1,Q6,Q39,Q39_1_TEXT,Q38,Q10,Q10_1_TEXT,Q11,Q12,Q12_1_TEXT,Q13,Q14,Q14_1_TEXT,Q15,Q16,Q16_1_TEXT,Q17,Q18,Q18_1_TEXT,Q19,Q22,Q22_1_TEXT,Q23,Q24,Q24_1_TEXT,Q25,Q28,Q28_1_TEXT,Q29,Q30,Q30_1_TEXT,Q31,Q32,Q32_1_TEXT,Q33,Q36,Q36_1_TEXT,Q37,Q38,Q38_1_TEXT,Q39,Q40,Q40_1_TEXT,Q41
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your participant ID:,Please summarize the story using as many details as you can remember.,Q4 - How much did you like this story?,Q5 - Did you feel engaged with this story?,Have you ever heard this story before?,Is the narrator male or female? - Selected Choice,Is the narrator male or female? - Enter answer: - Text,Is the narrator male or female?,What is the narrator’s job? - Selected Choice,What is the narrator’s job? - Enter answer: - Text,What is the narrator’s job?,"In which borough of New York city did the narrator start
his career? - Selected Choice","In which borough of New York city did the narrator start
his career? - Enter answer: - Text","In which borough of New York city did the narrator start
his career?",What does the narrator ask the Dean about? - Selected Choice,What does the narrator ask the Dean about? - Enter answer: - Text,What does the narrator ask the Dean about?,How does the dean react to the narrator’s question? - Selected Choice,How does the dean react to the narrator’s question? - Enter answer: - Text,How does the dean react to the narrator’s question?,What does the Dean get attacked with? - Selected Choice,What does the Dean get attacked with? - Enter answer: - Text,What does the Dean get attacked with?,"Do the students
in this story seem to like the Dean of their school? - Selected Choice","Do the students
in this story seem to like the Dean of their school? - Enter answer: - Text","Do the students
in this story seem to like the Dean of their school?",What does the narrator call the attacker? - Selected Choice,What does the narrator call the attacker? - Enter answer: - Text,What does the narrator call the attacker?,What language was PieMan’s catch phrase in? - Selected Choice,What language was PieMan’s catch phrase in? - Enter answer: - Text,What language was PieMan’s catch phrase in?,Where does the second PieMan attack happen? - Selected Choice,Where does the second PieMan attack happen? - Enter answer: - Text,Where does the second PieMan attack happen?,What did Sheila want to ban on campus? - Selected Choice,What did Sheila want to ban on campus? - Enter answer: - Text,What did Sheila want to ban on campus?,"What is the name of the girl that the narrator flirts
with? - Selected Choice","What is the name of the girl that the narrator flirts
with? - Enter answer: - Text","What is the name of the girl that the narrator flirts
with?",Where does the narrator see Angela? - Selected Choice,Where does the narrator see Angela? - Enter answer: - Text,Where does the narrator see Angela?,"What does the narrator say to Angela when she asks if he
is PieMan? - Selected Choice","What does the narrator say to Angela when she asks if he
is PieMan? - Enter answer: - Text","What does the narrator say to Angela when she asks if he
is PieMan?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID46""}","{""ImportId"":""QID46_1_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_1_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_1_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_1_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_1_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_1_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_1_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_1_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_1_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID30_1_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID32_1_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_1_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID38_1_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID40_1_TEXT""}","{""ImportId"":""QID41""}"
2018-09-21 07:46:23,2018-09-21 07:47:03,Survey Preview,,100,39,True,2018-09-21 07:47:03,R_3I6rgFUwMFulmCn,,,,,43.0146942138671875,-81.304901123046875,preview,EN,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-17 14:47:51,2018-10-17 14:51:04,IP Address,129.100.253.77,100,193,True,2018-10-17 14:51:05,R_3MaMzm7Wgzg06Il,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,,Dislike somewhat,Was engaged less than half the time,Maybe,Enter answer:,Male,,Enter answer:,Journalist,,Enter answer:,Bronx,,Enter answer:,Tuition inflation,,Enter answer:,Quite rudely,,Enter answer:,A pie,,Enter answer:,No.,,Enter answer:,PieMan,,Enter answer:,Latin,,Enter answer:,Library,,Enter answer:,Public drinking,,Enter answer:,Sheila,,Enter answer:,Pub,,Enter answer:,"Yes, I am PieMan",
2018-11-05 11:28:37,2018-11-05 11:53:40,IP Address,129.100.255.21,100,1502,True,2018-11-05 11:53:40,R_1j6xODGWKJSgoCN,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,'-student talk to dean - pieman shoves pie in his face- dean says to F you - wrote article about pie man but made up details- wrote 5 more stories about it,Neither like nor dislike,Was engaged half of the time,No,Enter answer:,male,,,,Journalist,,,Bronx,,,Tuition increases,Enter answer:,F you,,Enter answer:,Pie,,Enter answer:,no,,,,PieMan,Enter answer:,latin,,Enter answer:,library,,Enter answer:,drinking,,,,Angela,Enter answer:,the Bar,,Enter answer:,Yes,
2018-11-05 14:51:52,2018-11-05 15:15:51,IP Address,129.100.255.21,100,1438,True,2018-11-05 15:15:52,R_2Yt6hpHQ71x91EL,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,,Like a great deal,Was engaged with the entire story,No,Enter answer:,Male,,Enter answer:,newspaper writer,,,,Bronx,,,Tuition increases,,,He is rude to the narrator,Enter answer:,pie,,Enter answer:,no,,Enter answer:,Pie Man,,Enter answer:,latin,,Enter answer:,the library,,Enter answer:,outdoor drinking,,,,Sheila,Enter answer:,the bar,,Enter answer:,"Yes ",
2018-11-07 11:55:39,2018-11-07 12:15:10,IP Address,129.100.255.21,100,1170,True,2018-11-07 12:15:10,R_3nDzxE17dGCtYfk,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,Don't remember this story,,Was engaged less than half the time,No,Enter answer:,male,,,,,,,,,,,,,,,,,,,,,,PieMan,,,,,,,,,,,,,,,,Enter answer:,he says he is,
2018-11-07 15:01:39,2018-11-07 15:25:16,IP Address,129.100.255.21,100,1417,True,2018-11-07 15:25:17,R_232WAiQ7UwyFZx1,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,,Dislike somewhat,Was engaged less than half the time,No,Enter answer:,"MALE ",,Enter answer:,reporter/writer for news paper,,Enter answer:,bronxs,,,,Tuition increases,,,He is rude to the narrator,Enter answer:,cream pie,,Enter answer:,no,,Enter answer:,"pie man ",,Enter answer:,"latin ",,,,Outside the library,Enter answer:,"drinking ",,,,Angela,,,At a bar,Enter answer:,"yes i am pie man ",
2018-11-12 13:55:43,2018-11-12 14:42:21,IP Address,129.100.255.21,100,2798,True,2018-11-12 14:42:22,R_vHSK8LVYvQ1nXsl,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M105,,Dislike somewhat,Was engaged less than half the time,No,,,,,,,,,,,,,,,,,,,,,,,,PieMan,,,Latin,,,,,,Outdoor drinking,Enter answer:,sheila,,,,,Enter answer:,yes,
2018-11-14 09:55:21,2018-11-14 11:58:36,IP Address,129.100.247.74,100,7394,True,2018-11-14 11:58:37,R_vYokqzDkwjSiwTv,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M106,"Dean, cream pie, comedian, reporter",Like somewhat,Was engaged more than half the time,No,Enter answer:,Male,,Enter answer:,reporter,,,,Brooklyn,Enter answer:,inflation tuition rates,,Enter answer:,fuck you,,Enter answer:,cream pie,,Enter answer:,no at all,,Enter answer:,pie man,,Enter answer:,latin,,,,Outside the library,Enter answer:,"outdoor drinking ",,,,Angela,,,At a bar,Enter answer:,"yes ",
