StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q40,Q3,Q4_1,Q5_1,Q6,Q39,Q39_1_TEXT,Q38,Q7,Q7_1_TEXT,Q8,Q9,Q9_1_TEXT,Q10,Q11,Q11_1_TEXT,Q12,Q13,Q13_1_TEXT,Q14,Q15,Q15_1_TEXT,Q16,Q19,Q19_1_TEXT,Q20,Q21,Q21_1_TEXT,Q22,Q23,Q23_1_TEXT,Q24,Q25,Q25_1_TEXT,Q26,Q29,Q29_1_TEXT,Q30,Q31,Q31_1_TEXT,Q32,Q33,Q33_1_TEXT,Q34,Q35,Q35_1_TEXT,Q36,Q37,Q37_1_TEXT,Q38
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your participant ID:,Please summarize the story using as many details as you can remember.,Q4 - How much did you like this story?,Q5 - Did you feel engaged with this story?,Have you ever heard this story before?,Was the main character a male or female? - Selected Choice,Was the main character a male or female? - Enter answer: - Text,Was the main character a male or female?,Where did the narrator come from? - Selected Choice,Where did the narrator come from? - Enter answer: - Text,Where did the narrator come from?,Who told the narrator about the apartment for rent? - Selected Choice,Who told the narrator about the apartment for rent? - Enter answer: - Text,Who told the narrator about an apartment for rent?,Where did the narrator put the key money? - Selected Choice,Where did the narrator put the key money? - Enter answer: - Text,Where did the narrator put the key money?,For how long did the narrator live in the apartment? - Selected Choice,For how long did the narrator live in the apartment? - Enter Answer: - Text,For how long did the narrator live in the apartment?,What does Bob own in Brazil? - Selected Choice,What does Bob own in Brazil? - Enter Answer: - Text,What does Bob own in Brazil?,Why does Bob say he can kill anyone in Brazil? - Selected Choice,Why does Bob say he can kill anyone in Brazil? - Enter Answer: - Text,Why does Bob say he can kill anyone in Brazil?,Why did Alan and Bob conspire to kill someone? - Selected Choice,Why did Alan and Bob conspire to kill someone? - Enter answer: - Text,"Why did Alan and
Bob conspire to kill someone?",Who was the person who Alan and Bob conspired to kill? - Selected Choice,Who was the person who Alan and Bob conspired to kill? - Enter Answer: - Text,Who was the person who Alan and Bob conspired to kill?,How was the person killed? - Selected Choice,How was the person killed? - Enter Answer: - Text,How was the person killed?,How did the narrator initially find out what Alan had done? - Selected Choice,How did the narrator initially find out what Alan had done? - Enter Answer: - Text,How did the narrator initially find out what Alan had done?,What was Bob’s role at the apartment building? - Selected Choice,What was Bob’s role at the apartment building? - Enter Answer: - Text,What was Bob’s role at the apartment building?,Why did Bob turn Alan in? - Selected Choice,Why did Bob turn Alan in? - Enter Answer: - Text,Why did Bob turn Alan in?,Why did Alan want to kill the narrator? - Selected Choice,Why did Alan want to kill the narrator? - Enter Answer: - Text,Why did Alan want to kill the narrator?,Where does the narrator work now? - Selected Choice,Where does the narrator work now? - Enter Answer: - Text,Where does the narrator work now?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_1_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_1_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_1_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_1_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_1_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_1_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_1_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_1_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_1_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_1_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID30_1_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID32_1_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_1_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_1_TEXT""}","{""ImportId"":""QID37""}"
2018-09-21 07:40:02,2018-09-21 07:40:47,Survey Preview,,100,45,True,2018-09-21 07:40:48,R_2fvURR297V8MAff,,,,,43.0146942138671875,-81.304901123046875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-17 14:42:39,2018-10-17 14:47:32,IP Address,129.100.253.77,100,292,True,2018-10-17 14:47:33,R_AtEb2LpVHhmqplT,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,,Dislike a great deal,Was not engaged at all,Maybe,Enter answer:,Male,,Enter answer:,New York,,Enter answer:,Bob,,Enter answer:,Bob's Desk,,Enter Answer:,10 years,,Enter Answer:,Vineyard and hotels,,Enter Answer:,Because it was in the constitution that he could not be reprimanded,,Enter answer:,Because they wanted to get rid of the leaders of the movement,,Enter Answer:,The narrator and a couple other leaders,,Enter Answer:,via gun,,Enter Answer:,No,,Enter Answer:,Landlord,,Enter Answer:,Because Bob would've been caught through Alan,,Enter Answer:,Because he was one of the leaders of the movement,,Enter Answer:,New York Times,
2018-11-05 11:28:27,2018-11-05 11:49:47,IP Address,129.100.255.21,100,1279,True,2018-11-05 11:49:47,R_3JXVxpt1wCvdgfT,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,'- apartment hunting in nyc- put key money on table- super was from brazil and told about having a ranch and could kill someone- landlord and sister owned property but didnt do anything for old ladies in building so story teller had them all go on rent strike- it was fixed- lived there for 10 years-landlord went to jail,Like a great deal,Was engaged with the entire story,No,Enter answer:,male,,,,Carolina,Enter answer:,friend,,Enter answer:,table,,Enter Answer:,10 years,,Enter Answer:,ranch vineyard,,,,Because it is written into the constitution,,,The person was entitled to one of Alan's buildings,,,Alan’s sister’s ex-husband,,,Shot by a hit man,,,He saw an article in the newspaper,Enter Answer:,super,,,,He was afraid of being accused of murder.,,,He was causing Alan trouble with the other tenants,Enter Answer:,NYC Times,
2018-11-05 14:51:33,2018-11-05 15:12:58,IP Address,129.100.255.21,100,1285,True,2018-11-05 15:12:59,R_2E4eibmwsCHeWq3,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,,Like a great deal,Was engaged with the entire story,No,Enter answer:,Male,,,,,Enter answer:,his friend,,Enter answer:,on the desk,,Enter Answer:,10 years,,,,ranches,Enter Answer:,its in the consitution,,Enter answer:,so they would not have to give up the 4th apartment,,Enter Answer:,alan's brother in law,,,,Shot by a hit man,Enter Answer:,in the newspaper,,Enter Answer:,superintentent,,Enter Answer:,so bob would not have to get caught when Alan did the other murders,,Enter Answer:,cause he was an activist against alan,,Enter Answer:,the new york times,
2018-11-07 11:55:28,2018-11-07 12:12:57,IP Address,129.100.255.21,100,1049,True,2018-11-07 12:12:57,R_3hiqILlpApKjedZ,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,A man talks about getting an apartment in New York City that his friend told him to go to with $500. He lives there for 10ish years and then moves out to get married. He is also a writer for New York Times and discovers that his landlord hired someone to possibly kill him and he was saved by some other guy who works there.,Neither like nor dislike,Was engaged more than half the time,No,Enter answer:,male,,Enter answer:,New York,,Enter answer:,his friend,,Enter answer:,envelope,,Enter Answer:,10 years,,Enter Answer:,2 vineyards,,Enter Answer:,the constitution says so,,Enter answer:,because of a divorce,,Enter Answer:,bob's sister's ex,,,,Shot by a hit man,Enter Answer:,other land person told him,,Enter Answer:,tenant advocate,,Enter Answer:,he didn't want to get caught,,Enter Answer:,becuase he was annoying,,Enter Answer:,New York Times,
2018-11-07 15:01:30,2018-11-07 15:21:00,IP Address,129.100.255.21,100,1169,True,2018-11-07 15:21:00,R_2dzLB6AJKA3HN6T,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,,Neither like nor dislike,Was engaged less than half the time,,Enter answer:,"male ",,Enter answer:,"the south ",,,,A friend of the narrator who lived in the building,Enter answer:,on the managers desk,,Enter Answer:,10 years,,Enter Answer:,ranches,,Enter Answer:,because by law it says he cannot get charged for it.,,Enter answer:,"They planed to kill Alan's sisters ex husband, this is because the ex-husband was going to have half the appartments that she owned. Alan didn't want this so he called Bod to kill him.",,Enter Answer:,Alan's sister's ex-husband,,,,Shot by a hit man,Enter Answer:,"the newspaper ",,Enter Answer:,"cleaning tiolets ",,Enter Answer:,"he didnt want to get caught ",,Enter Answer:,because they were going against him in court,,Enter Answer:,"the new times ",
2018-11-12 13:55:29,2018-11-12 14:39:42,IP Address,129.100.255.21,100,2653,True,2018-11-12 14:39:43,R_1lmEbGcssZ1uW5l,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M105,Landlord is actually serial killer,Dislike somewhat,Was engaged less than half the time,No,Enter answer:,male,,,,,,,A friend of the superintendent,Enter answer:,on the table,,Enter Answer:,10 years,,,,ranches,,,Because it is written into the constitution,,,The person was entitled to one of Bob's buildings,Enter Answer:,brother in law,,,,Shot by a hit man,Enter Answer:,newspaper,,,,He owned the building,,,He was trying to protect Alan,,,He had a conspiracy with Bob,,,
2018-11-14 09:55:07,2018-11-14 11:55:09,IP Address,129.100.247.74,100,7201,True,2018-11-14 11:55:09,R_272QaNkvVWOi9eH,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M106,"Renting, Bob, Alan, New York times reporter, Murder",Like a great deal,Was engaged with the entire story,No,Enter answer:,Male,,Enter answer:,Southerner,,,,A friend of the narrator who lived in the building,Enter answer:,Right on the desk infront of the superintendent,,Enter Answer:,10 years,,Enter Answer:,5 ranches,,Enter Answer:,He can get away with it in Brazil,,Enter answer:,Because Alan's sisters was getting a dicorce and her sister helps own the buildings with Alan so that meant Alan's sisters husband would have got a building out of the divorce,,Enter Answer:,Alan's sister's husband,,,,Shot by a hit man,Enter Answer:,"He went to an investigator and found out ",,Enter Answer:,"superintendent ",,Enter Answer:,"To save himself from getting involved into more murders Alan wanted to conspire to ",,Enter Answer:,He caused a rent strike to help the older tenants get the help they deserved,,Enter Answer:,new york times,
