StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q30,Q3,Q4_1,Q5_1,Q6,Q39,Q39_1_TEXT,Q38,Q7,Q7_1_TEXT,Q8,Q9,Q9_1_TEXT,Q10,Q11,Q11_1_TEXT,Q12,Q13,Q13_1_TEXT,Q14,Q15,Q15_1_TEXT,Q16,Q19,Q19_1_TEXT,Q20,Q21,Q21_1_TEXT,Q22,Q23,Q23_1_TEXT,Q24,Q25,Q25_1_TEXT,Q26,Q29,Q29_1_TEXT,Q30,Q31,Q31_1_TEXT,Q32
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your participant ID:,Please summarize the story using as many details as you can remember.,Q4 - How much did you like this story?,Q5 - Did you feel engaged with this story?,Have you ever heard this story before?,Was the narrator male or female? - Selected Choice,Was the narrator male or female? - Enter answer: - Text,Was the narrator male or female?,What is the main character's name? - Selected Choice,What is the main character's name? - Enter answer: - Text,What is the main character's name?,What is the main character's wife's name? - Selected Choice,What is the main character's wife's name? - Enter answer: - Text,What is the main character's wife's name?,What was Guy's nighmare about? - Selected Choice,What was Guy's nighmare about? - Enter answer: - Text,What was Guy's nighmare about?,What means of transportation did Guy use to get to work? - Selected Choice,What means of transportation did Guy use to get to work? - Enter Answer: - Text,What means of transportation did Guy use to get to work?,Did Guy's friend on the bus want to talk to him? - Selected Choice,Did Guy's friend on the bus want to talk to him? - Enter Answer: - Text,Did Guy's friend on the bus want to talk to him?,Did Guy see the usual people on the bus in the morning? - Selected Choice,Did Guy see the usual people on the bus in the morning? - Enter Answer: - Text,Did Guy see the usual people on the bus in the morning?,"In the elevator, Guy heard advertisements for: - Selected Choice","In the elevator, Guy heard advertisements for: - Enter answer: - Text","In the elevator, Guy heard advertisements for:",What did Guy do every morning as he woke up? - Selected Choice,What did Guy do every morning as he woke up? - Enter Answer: - Text,What did Guy do every morning as he woke up?,What department did Guy work in? - Selected Choice,What department did Guy work in? - Enter Answer: - Text,What department did Guy work in?,When Guy gets to work the first thing he comments on is: - Selected Choice,When Guy gets to work the first thing he comments on is: - Enter Answer: - Text,When Guy gets to work the first thing he comments on is:,Does Guy's wife remember her nightmare on the second morning? - Selected Choice,Does Guy's wife remember her nightmare on the second morning? - Enter Answer: - Text,Does Guy's wife remember her nightmare on the second morning?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_1_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_1_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_1_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_1_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_1_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_1_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_1_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_1_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_1_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_1_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID30_1_TEXT""}","{""ImportId"":""QID31""}"
2018-09-21 07:27:52,2018-09-21 07:28:41,Survey Preview,,100,48,True,2018-09-21 07:28:42,R_27V9TVNDBatGV1B,,,,,43.0146942138671875,-81.304901123046875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-28 11:13:48,2018-09-28 11:16:25,IP Address,129.100.253.77,100,157,True,2018-09-28 11:16:25,R_3PHOUC2uAcFqJTe,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-28 11:18:01,2018-09-28 11:26:58,IP Address,129.100.253.77,3,537,False,2018-10-05 11:27:08,R_3rDtO5IxYzX4OwF,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-17 14:21:16,2018-10-17 14:24:16,IP Address,129.100.253.77,100,180,True,2018-10-17 14:24:17,R_3HH6wDSWCR2V297,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,,Like a great deal,Was engaged with the entire story,Yes,Enter answer:,Male,,Enter answer:,Guy Berkhardt,,Enter answer:,Mary,,Enter answer:,Explosion,,Enter Answer:,Bus,,Enter Answer:,Henry,,Enter Answer:,Yes,,Enter answer:,Feckle,,Enter Answer:,Scream,,Enter Answer:,Accounting,,Enter Answer:,Quaterly statements,,Enter Answer:,No,
2018-11-05 11:28:14,2018-11-05 11:43:41,IP Address,129.100.255.21,100,926,True,2018-11-05 11:43:41,R_1KuIu9k9gis2sTK,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,'-dream about a blast -wife had it too-went to work and noticed the day nicer and regular people not on bus-commercial on elevator was different-miss somone had new hair- boss wasnt there to signoff the reports -same dream the next day but everything was repeated from the day before,Like somewhat,Was engaged more than half the time,No,Enter answer:,male,,,,Guy,,,Sophie,Enter answer:,bomb,,Enter Answer:,bus,,Enter Answer:,no,,Enter Answer:,no,,Enter answer:,freezer,,,,Scream,,,Accounting,,,The advertisement in the elevator,Enter Answer:,no,
2018-11-05 14:51:16,2018-11-05 15:09:21,IP Address,129.100.255.21,100,1085,True,2018-11-05 15:09:22,R_8e5ObbwpLZlrhND,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,,Like somewhat,Was engaged more than half the time,No,Enter answer:,Male,,,,Guy,,,Mary,,,An explosion,Enter Answer:,the bus,,Enter Answer:,no,,Enter Answer:,no,,,,Freezers and cigarettes,Enter Answer:,scream,,Enter Answer:,accounting,,Enter Answer:,the new ad in the elevator,,Enter Answer:,no,
2018-11-07 11:55:16,2018-11-07 12:09:08,IP Address,129.100.255.21,100,832,True,2018-11-07 12:09:08,R_3gU9PTUPjKGoCnZ,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,"A man wakes up from a bad dream of an explosion and then heads to work where he is an accountant. His boss isn't there and can't sign the quarterly reports, and he is very upset. Then he goes back home and goes to sleep only to wake up the next morning with the same bad dream and his wife telling him that it is still July the 15th.",Neither like nor dislike,Was engaged more than half the time,No,Enter answer:,male,,,,,,,,Enter answer:,an explosion,,Enter Answer:,bus,,,,,Enter Answer:,no,,Enter answer:,cigarettes,,,,Scream,Enter Answer:,accounting,,,,The advertisement in the elevator,Enter Answer:,no,
2018-11-07 15:01:21,2018-11-07 15:13:56,IP Address,129.100.255.21,100,754,True,2018-11-07 15:13:56,R_2BfE3yCYLBaXW4F,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,,,Neither like nor dislike,Was engaged half of the time,No,Enter answer:,"male ",,,,Guy,,,Mary,Enter answer:,"In his story there was an explostion that occured ",,Enter Answer:,"bus ",,Enter Answer:,"no ",,Enter Answer:,"no ",,Enter answer:,"fridge ",,,,Scream,Enter Answer:,"accounting ",,Enter Answer:,"the woman's hair. The lady that was at the front desk. ",,Enter Answer:,no,
