Concussion,Age,Test,Scores
Non-Concussed,18-30,DS,0.100787614
Non-Concussed,18-30,DT,0.402631439
Non-Concussed,18-30,FM,0.35960026
Non-Concussed,18-30,GM,0.230227387
Non-Concussed,18-30,ML,0.273438368
Non-Concussed,18-30,OOO,-0.023441372
Non-Concussed,18-30,PA,0.305364659
Non-Concussed,18-30,POL,0.218153376
Non-Concussed,18-30,ROT,0.270561568
Non-Concussed,18-30,SS,0.39585293
Non-Concussed,18-30,SP,0.410043603
Non-Concussed,18-30,TS,0.300394603
Non-Concussed,31-40,DS,0.096676858
Non-Concussed,31-40,DT,0.135700977
Non-Concussed,31-40,FM,0.23180659
Non-Concussed,31-40,GM,0.113753543
Non-Concussed,31-40,ML,0.146185624
Non-Concussed,31-40,OOO,0.09310867
Non-Concussed,31-40,PA,0.138849365
Non-Concussed,31-40,POL,0.15132206
Non-Concussed,31-40,ROT,0.143949817
Non-Concussed,31-40,SS,0.168881461
Non-Concussed,31-40,SP,0.225181248
Non-Concussed,31-40,TS,0.085257999
Non-Concussed,41-50,DS,0.018940611
Non-Concussed,41-50,DT,-0.092090013
Non-Concussed,41-50,FM,-0.056044533
Non-Concussed,41-50,GM,-0.048467019
Non-Concussed,41-50,ML,-0.018149423
Non-Concussed,41-50,OOO,0.016007712
Non-Concussed,41-50,PA,-0.055995508
Non-Concussed,41-50,POL,-0.041160821
Non-Concussed,41-50,ROT,-0.026295583
Non-Concussed,41-50,SS,-0.063911516
Non-Concussed,41-50,SP,-0.116857824
Non-Concussed,41-50,TS,-0.083186995
Non-Concussed,51-60,DS,-0.094308148
Non-Concussed,51-60,DT,-0.307195754
Non-Concussed,51-60,FM,-0.363557669
Non-Concussed,51-60,GM,-0.186310951
Non-Concussed,51-60,ML,-0.227857783
Non-Concussed,51-60,OOO,0.058650573
Non-Concussed,51-60,PA,-0.261311425
Non-Concussed,51-60,POL,-0.200327809
Non-Concussed,51-60,ROT,-0.264242959
Non-Concussed,51-60,SS,-0.328277366
Non-Concussed,51-60,SP,-0.420764025
Non-Concussed,51-60,TS,-0.213250025
Non-Concussed,61-70,DS,-0.187628459
Non-Concussed,61-70,DT,-0.447266982
Non-Concussed,61-70,FM,-0.585833328
Non-Concussed,61-70,GM,-0.349590229
Non-Concussed,61-70,ML,-0.510546549
Non-Concussed,61-70,OOO,-0.066447247
Non-Concussed,61-70,PA,-0.425824613
Non-Concussed,61-70,POL,-0.371221192
Non-Concussed,61-70,ROT,-0.448145534
Non-Concussed,61-70,SS,-0.62691426
Non-Concussed,61-70,SP,-0.678034947
Non-Concussed,61-70,TS,-0.295388859
Non-Concussed,71-80,DS,-0.388509448
Non-Concussed,71-80,DT,-0.580937191
Non-Concussed,71-80,FM,-0.985823415
Non-Concussed,71-80,GM,-0.591694267
Non-Concussed,71-80,ML,-0.797353625
Non-Concussed,71-80,OOO,-0.191529663
Non-Concussed,71-80,PA,-0.656079569
Non-Concussed,71-80,POL,-0.585135918
Non-Concussed,71-80,ROT,-0.722035003
Non-Concussed,71-80,SS,-0.920890989
Non-Concussed,71-80,SP,-0.91683956
Non-Concussed,71-80,TS,-0.570964033
PoSP-Concussion,18-30,DS,0.104411635
PoSP-Concussion,18-30,DT,0.265314149
PoSP-Concussion,18-30,FM,0.413021162
PoSP-Concussion,18-30,GM,0.311127543
PoSP-Concussion,18-30,ML,0.280620391
PoSP-Concussion,18-30,OOO,0.04604446
PoSP-Concussion,18-30,PA,0.223121654
PoSP-Concussion,18-30,POL,0.310995577
PoSP-Concussion,18-30,ROT,0.285994276
PoSP-Concussion,18-30,SS,0.380177678
PoSP-Concussion,18-30,SP,0.456766415
PoSP-Concussion,18-30,TS,0.331795268
PoSP-Concussion,31-40,DS,0.022356403
PoSP-Concussion,31-40,DT,0.112364827
PoSP-Concussion,31-40,FM,0.254696338
PoSP-Concussion,31-40,GM,0.144713715
PoSP-Concussion,31-40,ML,0.181381256
PoSP-Concussion,31-40,OOO,0.015831148
PoSP-Concussion,31-40,PA,0.094122388
PoSP-Concussion,31-40,POL,0.035736921
PoSP-Concussion,31-40,ROT,0.170017414
PoSP-Concussion,31-40,SS,0.098728256
PoSP-Concussion,31-40,SP,0.23071599
PoSP-Concussion,31-40,TS,0.075393196
PoSP-Concussion,41-50,DS,0.035757988
PoSP-Concussion,41-50,DT,-0.214710099
PoSP-Concussion,41-50,FM,-0.079774461
PoSP-Concussion,41-50,GM,0.083582089
PoSP-Concussion,41-50,ML,0.11895086
PoSP-Concussion,41-50,OOO,-0.02395338
PoSP-Concussion,41-50,PA,0.036196415
PoSP-Concussion,41-50,POL,0.097938225
PoSP-Concussion,41-50,ROT,0.068771176
PoSP-Concussion,41-50,SS,-0.044361558
PoSP-Concussion,41-50,SP,-0.058673746
PoSP-Concussion,41-50,TS,-0.093170464
PoSP-Concussion,51-60,DS,-0.131489848
PoSP-Concussion,51-60,DT,-0.292310355
PoSP-Concussion,51-60,FM,-0.333112753
PoSP-Concussion,51-60,GM,-0.176280805
PoSP-Concussion,51-60,ML,-0.249860643
PoSP-Concussion,51-60,OOO,0.023296312
PoSP-Concussion,51-60,PA,-0.318592191
PoSP-Concussion,51-60,POL,-0.242564932
PoSP-Concussion,51-60,ROT,-0.246363394
PoSP-Concussion,51-60,SS,-0.325556992
PoSP-Concussion,51-60,SP,-0.372407478
PoSP-Concussion,51-60,TS,-0.264851822
PoSP-Concussion,61-70,DS,-0.189557019
PoSP-Concussion,61-70,DT,-0.51067244
PoSP-Concussion,61-70,FM,-0.639854227
PoSP-Concussion,61-70,GM,-0.318806463
PoSP-Concussion,61-70,ML,-0.57932585
PoSP-Concussion,61-70,OOO,-0.090854193
PoSP-Concussion,61-70,PA,-0.457913703
PoSP-Concussion,61-70,POL,-0.411959127
PoSP-Concussion,61-70,ROT,-0.482833073
PoSP-Concussion,61-70,SS,-0.626959931
PoSP-Concussion,61-70,SP,-0.663932633
PoSP-Concussion,61-70,TS,-0.394770113
PoSP-Concussion,71-80,DS,-0.419567466
PoSP-Concussion,71-80,DT,-0.715055669
PoSP-Concussion,71-80,FM,-0.945137958
PoSP-Concussion,71-80,GM,-0.620088016
PoSP-Concussion,71-80,ML,-0.755470903
PoSP-Concussion,71-80,OOO,-0.347079646
PoSP-Concussion,71-80,PA,-0.596809415
PoSP-Concussion,71-80,POL,-0.599016606
PoSP-Concussion,71-80,ROT,-0.950591224
PoSP-Concussion,71-80,SS,-0.932858068
PoSP-Concussion,71-80,SP,-0.974992283
PoSP-Concussion,71-80,TS,-0.618158303
