Rank,Title,Status,Study Results,Conditions,Interventions,Outcome Measures,Last Update Posted,URL
1,Measuring the Impact of Cognitive and Psychosocial Interventions in Persons With Mild Cognitive Impairment,Completed,No Results Available,Mild Cognitive Impairment,Other: Cognitive intervention|Other: Psychosocial intervention,Change in memory measures|generalization of therapeutic gains to everyday life|Change in psychological health measures,27-Jan-16,https://ClinicalTrials.gov/show/NCT01448148
2,Aerobic Exercise Training in Mild Cognitive Impairment Study,Completed,No Results Available,Mild Cognitive Impairment,Behavioral: Exercise|Behavioral: Balance training,Cognitive function|Cerebrovascular function|Brain tissue volume and white matter integrity,26-Oct-16,https://ClinicalTrials.gov/show/NCT01146717
3,A 28-Week Open Label Extension Study Evaluating Safety and Tolerability of Donepezil Hydrochloride in Subjects With Mild Cognitive Impairment,Completed,Has Results,Mild Cognitive Impairment,Drug: Aricept (donepezil hydrochloride)|Drug: placebo,Number of Participants With Treatment-Emergent Adverse Events,14-Jan-14,https://ClinicalTrials.gov/show/NCT00934375
4,A Combined Training Program for Veterans With Amnestic Mild Cognitive Impairment,Completed,No Results Available,Amnestic Mild Cognitive Impairment,Behavioral: Combined Aerobic and Resistance Exercise|Behavioral: Stretching Exercises|Behavioral: Cognitive Training,"Change from Baseline to 28 weeks in delayed recall of a word list|Change from Baseline to 28 weeks in Delayed Recall of Names-Face Task|Non-Cognitive Outcomes (Depression, Sleep, Quality of Life)",05-Apr-18,https://ClinicalTrials.gov/show/NCT01962038
5,Meaningful Activity Intervention for Persons With Mild Cognitive Impairment,Completed,No Results Available,Mild Cognitive Impairment,Behavioral: Daily Enhancement Meaningful Activity (DEMA)|Behavioral: Information Support (IS),Patient_Depression symptoms: Patient Health Questionnaire Depression Scale (PHQ-9)|Patient_satisfaction with communication: The subscale of Communication and Affective Responsiveness|Patient_Physical Function: Alzheimer disease cooperative study activities of daily living inventory.|Patient_Life satisfaction : Life Satisfaction Index for the Third Age-Short Form|Patient_Satisfaction with program: Satisfaction with Meaningful Activity Program Scale is adapted from the Caregiver Satisfaction Scale|Patient_ Meaningful activities engagement performance and satisfaction: Canadian Occupational Performance Measure & weekly log|Patient_Sense of confidence: Confidence Scale|Caregiver_Depressive Symptoms: PHQ-9|Caregiver_ Caregiver life changes: Caregiving Outcomes Scale|Caregiver_- Satisfaction with program: Satisfaction with Meaningful Activity Program Scale is adapted from the Caregiver Satisfaction Scale,25-Oct-16,https://ClinicalTrials.gov/show/NCT01843283
6,Intervention Program for Patients With Mild Cognitive Impairment,Completed,No Results Available,Mild Cognitive Impairment,Other: Family Caregiver Intervention Program,Caregivers' preparedness was measured by the 10-item Caregiver Preparedness Scale.|Caregivers' competence was measured by the 17-item Competence Scale.|Caregivers' quality of life was measured by the The 36-Item Short Form Health Survey (SF-36).|Caregivers' depressive symptoms was measured by the the Center for Epidemiologic Studies Depression Scale.,03-Feb-17,https://ClinicalTrials.gov/show/NCT02670850
7,Efficacy Study of Cognitive Intervention in Amnestic Mild Cognitive Impairment,Completed,No Results Available,Mild Cognitive Impairment,Other: group cognitive intervention|Other: Home-based cognitive intervention,Modified Alzheimer's Disease Assessment Scale-Cognitive subscale(ADAS-cog)|story recall test|Digit span forward and backward|Word fluency test|color-word stroop test|Digit symbol test|prospective memory test|Mini-Mental State Examination|CDR-SB|K-AD8|PRMQ|MMQ-Strategy|QOL-AD|Geriatric Depression Scale-short form|Bayer ADL|CGA-NPI|Subjective cognitive assessment,28-Aug-13,https://ClinicalTrials.gov/show/NCT01358955
8,Mindfulness Based Stress Reduction for Adults With Mild Cognitive Impairment,Completed,No Results Available,Mild Cognitive Impairment,Behavioral: Mindfulness Based Stress Reduction (MBSR),"Number of participants with adverse events|Feasibility: 85% completion|Change in fMRI Resting state|Change in Cognition|Change in Measures of ""well-being""|Qualitative Improvements",24-May-12,https://ClinicalTrials.gov/show/NCT01605448
9,Preventing Cognitive Decline in African Americans With Mild Cognitive Impairment,Completed,No Results Available,Mild Cognitive Impairment (MCI),Behavioral: Behavioral Activation (BA)|Behavioral: Supportive Therapy (ST),"Episodic Memory|Uniform Data Set (UDS) Neuropsychological Battery, Alzheimer's Disease Cooperative Study (ADSC) Measures",18-Jan-18,https://ClinicalTrials.gov/show/NCT01299766
10,RIVastigmine In Vascular cognitivE Impairment,Completed,No Results Available,Cognitive Impairment,Drug: Exelon (rivastigmine)|Drug: Placebo,To evaluate the comparative change from baseline between treatment and placebo arms in the Ten Point Clock Drawing Test as well as Color Trails 1 and 2.|To evaluate the comparative change from baseline between treatment and placebo on cognitive function|To evaluate the comparative change from baseline between treatment and placebo on activities of daily living|To evaluate the comparative change from baseline between treatment and placebo on behavior and depression|To evaluate the safety and tolerability of treatment in comparison to placebo,10-Feb-17,https://ClinicalTrials.gov/show/NCT00669344
11,Memory Training Versus Yogic Meditation Training in Older Adults With Mild Cognitive Impairment,Completed,No Results Available,Mild Cognitive Impairment,Behavioral: Kundalini yoga and meditation|Behavioral: Memory Training,Change in memory|Clinical Global Impression scale|Geriatric Depression scale|Change in fMRI connectivity,30-Jun-16,https://ClinicalTrials.gov/show/NCT01983930
12,Memory Training in Patients With Amnestic Mild Cognitive Impairment,Completed,No Results Available,Mild Cognitive Impairment,Behavioral: Memory Training|Behavioral: Psychoeducation,Changes in memory measures|Changes in functional magnetic resonance imaging (fMRI)|Changes in perception of memory performance and mood|Changes in memory performance and perception of memory performance over time - follow up,26-Oct-15,https://ClinicalTrials.gov/show/NCT01978353
13,Cognitive Intervention in Mild Cognitive Impairment With or Without White Matter Hyperintensities,Completed,No Results Available,Mild Cognitive Impairment,Behavioral: Computerized Cognitive Stimulation,Rey Auditory Verbal Learning test,22-Jun-17,https://ClinicalTrials.gov/show/NCT03195803
14,Evaluation of Lithium as a Glycogen-Synthase-Kinase-3 (GSK-3) Inhibitor in Mild Cognitive Impairment,Completed,No Results Available,Mild Cognitive Impairment,Drug: Lithium Carbonate,GSK-3 activity in PBMC isolates,11-Apr-18,https://ClinicalTrials.gov/show/NCT02601859
15,Vascular Alteration and Evolution of Cognitive Impairment,Completed,No Results Available,Cognitive Impairment,Biological: blood sampling|Procedure: brain MRI and TEP cerebral|Other: Assessment of cognitive functions|Other: Electrocardiogram and blood pressure|Procedure: Vascular explorations|Biological: Urine sample,"Global memory, visual retention and verbal fluency composite score|vascular exploration|white matter hyperintensities by fazekas score.",25-Feb-14,https://ClinicalTrials.gov/show/NCT01351961
16,Computer-Based Therapy for Mild Cognitive Impairment,Completed,No Results Available,Mild Cognitive Impairment,Procedure: Computer-based training for Mild Cognitive Impairment (MCI),"The study investigates changes in a neuropsychological assessment battery pre-randomization|and upon the completion of training.|Early evaluations will be conducted from brain imaging; specifically, date|obtained via positron emission tomography (PET), magnetoencephalography (MEG),|electroencephalography (EEG), and functional magnetic resonance imaging (fMRI)|studies.",27-Apr-06,https://ClinicalTrials.gov/show/NCT00319943
17,Identification of Biomarkers Sensitive to Disease Progression in Patients With Mild Cognitive Impairment,Completed,No Results Available,MILD COGNITIVE IMPAIRMENT,Procedure: Lumbar puncture,Part A: Magnetic Resonance Imagery protocol|Part B: Changes of the hippocampal volume|Part B: Clinical assessment|Part B: Neuropsychology|Part B: Neurophysiology|Part B: Magnetic Resonance Imagery and functional MRI|Part B: Blood drawing|Part B: Actigraphy|Adverse events,02-Nov-15,https://ClinicalTrials.gov/show/NCT01425957
18,"Cognitive Impairment Following Sedation for Colonoscopy With Propofol, Midazolam and Fentanyl Combinations",Completed,No Results Available,Cognitive Impairment,"Drug: Propofol, midazolam, fentanyl","Cognitive impairment at hospital discharge after elective outpatient colonoscopy|Dreaming during sedation, intraoperative operating conditions and complications, satisfaction with care",30-May-13,https://ClinicalTrials.gov/show/NCT00446420
19,Impact of Transcranial Direct Current Stimulation on Language Functions in Mild Cognitive Impairment,Completed,No Results Available,Mild Cognitive Impairment,Device: tDCS,Number of correct responses during word-generation tasks (max. 60)|Neural activity during word-generation task assessed by functional magnetic resonance imaging (fMRI),22-Aug-13,https://ClinicalTrials.gov/show/NCT01771211
