ID,ses,20th Century,Half Life,Lost in Notting Hill,Sold,People Like You,Tonopah,Big in the City,Take Off Not Landing
101,1,3,4,3,4,4,5,2,3
101,2,4,4,3,2,3,4,4,2
101,3,3,4,3,3,4,4,4,3
101,4,3,4,3,3,4,4,3,4
101,6,3,2,3,2,3,4,4,2
103,1,4,5,3,2,5,4,3,3
103,2,4,5,3,1,3,5,3,2
103,3,4,5,3,3,4,4,3,2
103,4,4,5,2,2,3,4,3,3
103,5,5,5,3,2,4,5,4,3
105,1,4,4,3,3,3,4,3,3
105,2,4,4,3,3,4,4,4,3
105,3,4,4,3,3,4,4,4,4
105,4,5,4,4,4,4,4,4,4
105,5,4,4,4,3,4,4,3,3
107,1,3,1,3,1,4,3,4,3
107,2,4,3,4,2,4,3,3,4
107,3,4,3,3,1,4,4,3,2
107,4,5,4,4,2,5,4,3,3
107,5,4,4,3,1,4,4,4,3
111,1,4,5,1,1,4,4,3,1
111,2,5,5,2,1,3,4,3,1
111,3,4,5,1,2,4,5,3,1
111,4,5,4,1,1,3,5,4,1
111,5,5,5,1,1,3,5,4,1
113,1,3,4,1,1,3,4,2,1
113,2,3,4,1,1,3,3,2,1
113,3,3,4,1,1,3,3,2,1
113,4,3,4,1,1,4,4,2,1
113,5,3,4,1,1,4,4,2,1
115,1,4,2,3,2,5,4,3,1
115,2,5,2,4,2,5,4,2,3
115,3,5,2,3,1,5,4,4,2
115,4,5,1,3,2,4,4,3,2
115,5,5,1,3,2,5,4,3,2
117,1,3,3,1,1,3,3,2,1
117,2,2,3,1,1,2,3,1,1
117,3,2,3,1,1,2,2,1,1
117,4,3,2,1,1,3,3,1,1
117,5,3,2,1,1,2,3,1,1
119,1,3,2,1,4,1,2,1,4
119,2,3,2,1,5,5,2,1,5
119,3,3,2,1,5,3,1,1,5
119,4,1,1,1,5,3,1,1,5
119,5,1,1,1,5,3,1,1,5
123,1,4,4,2,1,4,4,3,2
123,2,4,4,2,1,4,3,2,3
123,3,4,3,2,1,4,3,2,2
123,4,4,3,2,1,2,3,2,2
123,5,4,2,3,1,3,3,2,2
125,1,3,3,2,2,4,4,2,2
125,2,2,3,1,1,3,3,2,1
125,3,2,3,1,1,2,3,1,2
125,4,3,2,1,1,1,3,1,1
125,5,1,3,1,1,2,3,1,2
