ID,ses,Americans,Fun Loving Angels,Waving Not Drowning,Thinking About You,Superman,Killing Time,Stones In Your Pocket,Yeah Yeah
102,1,4,4,3,2,4,3,2,2
102,2,4,4,2,2,4,4,2,2
102,3,4,4,2,2,4,4,2,2
102,4,4,4,2,2,4,4,2,2
102,5,4,4,2,2,4,4,2,2
104,1,3,4,3,2,4,5,3,2
104,2,3,4,3,3,4,5,3,2
104,3,3,5,3,2,4,5,4,3
104,4,3,4,3,3,4,4,3,2
104,5,4,4,3,3,3,5,3,2
106,1,5,5,3,4,5,3,2,4
106,2,4,4,2,4,5,4,4,4
106,3,4,4,2,3,4,5,3,4
106,4,2,4,3,3,4,4,2,4
106,5,4,5,2,3,5,4,3,3
108,1,3,4,3,2,4,4,3,1
108,2,4,4,3,2,3,4,3,1
108,3,3,4,3,2,4,4,3,1
108,4,3,4,3,2,3,4,3,1
108,5,3,4,3,2,3,4,3,1
110,1,3,5,4,1,5,5,1,1
110,2,4,4,4,2,5,5,3,1
110,3,5,5,4,2,5,5,4,1
110,4,5,5,4,3,5,5,4,1
110,5,5,4,4,2,5,5,3,1
112,1,5,5,3,2,5,5,4,3
112,2,4,5,4,3,5,5,4,3
112,3,5,5,4,4,5,5,4,4
112,4,5,5,4,3,5,5,3,3
112,5,4,5,4,3,5,5,4,3
114,1,1,1,1,1,1,1,1,1
114,2,1,1,1,1,2,2,1,1
114,3,1,1,1,1,2,2,1,1
114,4,1,1,1,1,2,2,1,1
114,5,1,2,1,1,3,3,1,1
120,1,3,4,4,3,3,3,3,3
120,2,2,3,3,2,3,2,3,2
120,3,2,4,4,2,3,2,3,2
120,4,2,3,3,2,3,2,3,2
120,5,2,3,3,2,4,2,3,2
126,1,4,3,2,1,3,3,4,1
126,2,3,4,3,1,3,5,3,1
126,3,3,4,4,1,4,4,3,1
126,4,4,5,4,2,4,5,4,1
126,5,5,5,4,2,4,5,4,2
