ID,Paired Associates,Odd One Out (Max),Polygons,Grammatical Reasoning,Double Trouble,Monkey Ladder,Digit Span,Token Search,Feature Match,Spatial Planning,Spatial Span,Rotations,age,MusicExpRating,NumOfLang,MusicYrsMax,MusicIdentity
P201,4,6,44,12,1,7,5,7,81,14,3,-8,67,2,1,0,4
P202,4,15,43,19,12,6,5,6,96,13,3,60,69,6,1,20,5
P203,4,15,10,16,13,7,4,8,89,22,4,30,67,1,1,1,4
P205,4,14,46,19,23,6,6,4,92,12,5,52,68,4,2,7,5
P206,4,13,9,14,34,6,6,7,81,14,5,33,72,2,2,1,2
P207,4,13,25,13,1,6,7,7,50,18,4,69,73,5,2,7,7
P208,5,12,30,6,21,7,5,7,90,13,5,44,69,1,1,1,3
P209,4,13,24,14,29,6,8,7,81,10,6,37,74,7,4,10,7
P210,4,14,43,14,26,6,4,7,81,19,5,52,64,2,2,0,4
P211,4,16,38,12,0,8,7,7,90,31,5,78,71,1,1,3,4
P212,3,16,36,14,3,7,8,8,72,8,4,69,71,2,1,0,3
P213,4,14,8,13,27,6,7,8,90,24,6,48,67,2,1,3,2
P214,3,15,21,10,28,5,5,6,83,11,5,32,72,7,1,10,7
P215,4,13,36,14,13,7,6,6,110,9,5,28,70,2,1,2,6
