StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q24,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Subject ID:,I am often moved by the lyrics of a song.,"When listening to a song, I am often struck by the emotional content of the lyrics.","When listening to music, the lyrics really grab me.",The meaning of the lyrics is the most important aspect of song selection.,Songs with meaningful lyrics stand out to me.,"When listening to music, I most often find myself drawn to the lyrics.","When choosing a song to listen to, I care a lot about the meaning of the lyrics.","After listening to a song, I often think about what the words meant.","When listening to a song, I connect emotionally to the lyrics.",I always listen to what is being said in the lyrics.,I know every word to my favorite songs.,I will listen to a song because I want to hear the lyrics.,The lyrics of a song really draw me in.,"When listening to music, I pay the most attention to the lyrics.","When listening to music, I understand the lyrics.",Catchy lyrics make me want to listen to a song.,I usually memorize the words of songs.,I tend to remember song lyrics accurately.,I care about the message being communicated in a song.,The exact lyrics are the most important aspect of song selection.,I can remember the lyrics of a song after hearing it a couple times.,"When a song is stuck in my head, I tend to sing the lyrics."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}"
2019-03-07 06:32:36,2019-03-07 06:35:02,0,129.100.255.18,100,145,1,2019-03-07 06:35:04,R_2SoYp7tVmyIdNqU,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,201,6,2,6,6,7,6,7,6,6,5,6,7,6,6,5,6,5,6,7,6,5,7
2019-02-28 11:00:52,2019-02-28 11:26:08,0,129.100.255.18,8,1515,0,2019-03-07 11:26:08,R_3t0CnPjwaAxACbL,,,,,,,anonymous,EN,test,,,,,,,,,,,,,,,,,,,,,,
2019-03-20 11:34:16,2019-03-20 11:36:55,0,129.100.255.18,100,158,1,2019-03-20 11:36:57,R_3QRCACGiq14T5BI,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,202,6,2,5,4,5,6,4,6,5,5,6,6,5,4,6,6,5,5,6,3,6,6
2019-03-22 09:35:44,2019-03-22 09:39:32,0,129.100.255.18,100,227,1,2019-03-22 09:39:33,R_2xRclCLhEZMpQmb,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,203,6,3,4,4,6,6,5,5,5,4,5,5,5,4,4,5,5,3,6,4,5,7
2019-03-26 08:33:25,2019-03-26 08:36:54,0,129.100.255.18,100,209,1,2019-03-26 08:36:54,R_2q1T6UkW0r8QrgV,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,206,5,2,4,4,5,4,4,3,5,4,4,4,4,3,5,6,2,3,4,3,2,5
2019-03-29 08:12:49,2019-03-29 08:17:21,0,129.100.255.18,100,271,1,2019-03-29 08:17:21,R_3WqfLElu0HY0zuN,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,208,6,2,6,6,6,6,6,5,6,5,5,6,6,5,4,5,5,5,7,4,4,7
2019-04-04 06:59:20,2019-04-04 07:02:21,0,129.100.255.18,100,181,1,2019-04-04 07:02:23,R_23ZxlVDgnVbSsr8,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,212,6,4,5,3,5,4,4,5,5,5,5,,4,3,,,4,4,5,3,4,5
2019-04-04 12:03:53,2019-04-04 12:07:30,0,129.100.255.35,100,217,1,2019-04-04 12:07:30,R_22rIE1946oxrlmW,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,207,6,1,6,3,6,6,5,4,6,4,5,3,3,3,3,5,4,3,4,2,5,5
2019-04-05 12:10:58,2019-04-05 12:14:43,0,129.100.255.18,100,225,1,2019-04-05 12:14:44,R_Y0sNLNtCeGGGDWF,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,209,5,2,6,7,6,6,6,6,5,6,5,5,6,6,6,6,4,5,6,7,5,6
2019-04-16 08:08:04,2019-04-16 08:11:07,0,129.100.255.35,100,182,1,2019-04-16 08:11:09,R_2RUk1JggKjaftm2,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,205,5,3,3,1,5,2,3,3,4,2,2,2,3,1,5,6,2,4,6,2,4,2
