a-pre,s-pre,w-pre,a-post,s-post,w-post
0.4,0.5,0.25,0.833333333,0.5,0.714285714
0.375,0.333333333,0.555555556,1,1,1
0.333333333,0.4,0.2,0.666666667,0.75,0.666666667
0.333333333,0.6,0.666666667,0.555555556,1,0.9
0.5,0.142857143,0.5,1,0.875,0.714285714
0.333333333,0.7,0.5,0.777777778,0.9,0.7
0,0.375,0.285714286,0.833333333,0.875,0.714285714
0.444444444,0.5,0.5,0.666666667,0.9,1
0.333333333,0.666666667,0.5,1,1,1
0.166666667,0.166666667,0.166666667,0.833333333,1,0.857142857
0.428571429,0.6,0.5,0.666666667,1,0.6
0.166666667,0.75,0.571428571,0.833333333,0.875,0.714285714
0.333333333,0.6,0.4,0.777777778,0.9,0.7
0.166666667,0,0.428571429,1,0.75,0.571428571
0.333333333,0.714285714,0.3,0.625,0.8,0.5
0.5,0,0.166666667,1,1,0.857142857
0.375,0.8,0.444444444,0.555555556,0.777777778,0.555555556
0.333333333,0.125,0.166666667,0.833333333,0.875,0.714285714
0.333333333,0.875,0.5,0.444444444,0.7,0.8
0.111111111,0.4,0.3,0.555555556,0.5,0.7
0.666666667,0.25,0.833333333,0.666666667,0.875,0.714285714
0.857142857,0.444444444,0.4,0.333333333,0.9,0.8
0.333333333,0,0.428571429,1,0.875,0.714285714
0.25,0.6,0.375,0.777777778,0.8,0.9
