ID,reps,type,ses
1,0.4,a,pre
1,0.5,s,pre
1,0.25,w,pre
1,0.833333333,a,post
1,0.5,s,post
1,0.714285714,w,post
2,0.375,a,pre
2,0.333333333,s,pre
2,0.555555556,w,pre
2,1,a,post
2,1,s,post
2,1,w,post
3,0.333333333,a,pre
3,0.4,s,pre
3,0.2,w,pre
3,0.666666667,a,post
3,0.75,s,post
3,0.666666667,w,post
4,0.333333333,a,pre
4,0.6,s,pre
4,0.666666667,w,pre
4,0.555555556,a,post
4,1,s,post
4,0.9,w,post
5,0.5,a,pre
5,0.142857143,s,pre
5,0.5,w,pre
5,1,a,post
5,0.875,s,post
5,0.714285714,w,post
6,0.333333333,a,pre
6,0.7,s,pre
6,0.5,w,pre
6,0.777777778,a,post
6,0.9,s,post
6,0.7,w,post
7,0,a,pre
7,0.375,s,pre
7,0.285714286,w,pre
7,0.833333333,a,post
7,0.875,s,post
7,0.714285714,w,post
8,0.444444444,a,pre
8,0.5,s,pre
8,0.5,w,pre
8,0.666666667,a,post
8,0.9,s,post
8,1,w,post
9,0.333333333,a,pre
9,0.666666667,s,pre
9,0.5,w,pre
9,1,a,post
9,1,s,post
9,1,w,post
10,0.166666667,a,pre
10,0.166666667,s,pre
10,0.166666667,w,pre
10,0.833333333,a,post
10,1,s,post
10,0.857142857,w,post
11,0.428571429,a,pre
11,0.6,s,pre
11,0.5,w,pre
11,0.666666667,a,post
11,1,s,post
11,0.6,w,post
12,0.166666667,a,pre
12,0.75,s,pre
12,0.571428571,w,pre
12,0.833333333,a,post
12,0.875,s,post
12,0.714285714,w,post
13,0.333333333,a,pre
13,0.6,s,pre
13,0.4,w,pre
13,0.777777778,a,post
13,0.9,s,post
13,0.7,w,post
14,0.166666667,a,pre
14,0,s,pre
14,0.428571429,w,pre
14,1,a,post
14,0.75,s,post
14,0.571428571,w,post
15,0.333333333,a,pre
15,0.714285714,s,pre
15,0.3,w,pre
15,0.625,a,post
15,0.8,s,post
15,0.5,w,post
16,0.5,a,pre
16,0,s,pre
16,0.166666667,w,pre
16,1,a,post
16,1,s,post
16,0.857142857,w,post
17,0.375,a,pre
17,0.8,s,pre
17,0.444444444,w,pre
17,0.555555556,a,post
17,0.777777778,s,post
17,0.555555556,w,post
18,0.333333333,a,pre
18,0.125,s,pre
18,0.166666667,w,pre
18,0.833333333,a,post
18,0.875,s,post
18,0.714285714,w,post
19,0.333333333,a,pre
19,0.875,s,pre
19,0.5,w,pre
19,0.444444444,a,post
19,0.7,s,post
19,0.8,w,post
20,0.111111111,a,pre
20,0.4,s,pre
20,0.3,w,pre
20,0.555555556,a,post
20,0.5,s,post
20,0.7,w,post
21,0.666666667,a,pre
21,0.25,s,pre
21,0.833333333,w,pre
21,0.666666667,a,post
21,0.875,s,post
21,0.714285714,w,post
22,0.857142857,a,pre
22,0.444444444,s,pre
22,0.4,w,pre
22,0.333333333,a,post
22,0.9,s,post
22,0.8,w,post
23,0.333333333,a,pre
23,0,s,pre
23,0.428571429,w,pre
23,1,a,post
23,0.875,s,post
23,0.714285714,w,post
24,0.25,a,pre
24,0.6,s,pre
24,0.375,w,pre
24,0.777777778,a,post
24,0.8,s,post
24,0.9,w,post
