"","x"
"1",6.36573686593119e-06
"2",0.177475550188169
"3",0.000285635738573687
"4",0.00305091293392844
"5",0.2080777214238
"6",0.570863237403855
"7",0.000119653924676632
"8",0.00333606326004509
"9",0.0601315009087167
"10",0.000378790903465786
"11",0.198510210935013
"12",0.455279374850365
"13",4.53914685892504e-06
"14",0.000159745796353226
"15",0.0284808677912876
"16",0.149019630978826
"17",0.405652326364685
"18",0.88825759760402
"19",0.0395725287579389
"20",0.182445829843563
"21",0.334887144116644
"22",0.84476375658102
"23",0.246080370904567
"24",0.394959501534588
"25",0.759418526292399
"26",0.186379898645352
"27",0.0893613181126057
"28",0.012001609286921
"29",0.0136405465409389
"30",0.415156454046963
"31",0.375292070856953
"32",0.700230302164838
"33",0.475606346094282
"34",0.107693035821694
"35",0.155239270382748
"36",0.0406395562035882
"37",0.100120431339177
"38",0.0384089025000387
"39",0.0242436161783198
"40",0.00172794651318181
"41",0.00303481134814987
"42",0.000667166660238105
"43",0.599803152461511
"44",0.0392026880591322
"45",0.00242880972155117
"46",0.593146728274086
"47",0.897916733422789
"48",0.749343552342773
"49",0.752321730669037
"50",1.06741710578997e-07
"51",1.75512902367709e-08
"52",0.000629402032155155
"53",0.409008353012367
"54",1.21453864699407e-05
"55",0.319525387904988
"56",0.303049856990323
"57",1.6440204716381e-07
"58",0.809271630390794
