"","x"
"1",0.163789963010681
"2",0.663157872983923
"3",0.710287585718552
"4",0.539909958490623
"5",0.870111320074733
"6",0.399315983206426
"7",0.754880529380805
"8",0.752282620014275
"9",0.554089140950051
"10",0.163789963010681
"11",0.98869033615316
"12",0.220194977436013
"13",0.128037734388888
"14",0.98869033615316
"15",0.190279168137797
"16",0.417344505030137
"17",0.822124140727181
"18",0.893206303321944
"19",0.316088788039509
"20",0.525242337604462
"21",0.710287585718552
"22",0.663157872983923
"23",0.844923542279204
"24",0.289544428626826
"25",0.289544428626826
"26",0.772859699572951
"27",0.710287585718552
"28",0.168715463036095
"29",0.289544428626826
"30",0.554089140950051
"31",0.128037734388888
"32",0.798722674669786
"33",0.163789963010681
"34",0.163789963010681
"35",0.525242337604462
"36",0.844923542279204
"37",0.978325898369681
"38",0.197998599421907
"39",0.433328230897288
"40",0.220194977436013
"41",0.554089140950051
"42",0.316088788039509
"43",0.163789963010681
"44",0.978325898369681
"45",0.128037734388888
"46",0.978325898369681
"47",0.481271628546101
"48",0.554089140950051
"49",0.128037734388888
"50",0.280478566360838
"51",0.128037734388888
"52",0.289544428626826
"53",0.89378956034702
"54",0.289544428626826
"55",0.128037734388888
"56",0.481271628546101
"57",0.128037734388888
"58",0.63295071817569
