"","x"
"1",0.00945794988445944
"2",0.360955386256547
"3",0.0335632219241968
"4",0.137369742653111
"5",0.372194432083363
"6",0.137369742653111
"7",0.0543256586546694
"8",0.9011877911668
"9",0.0543256586546694
"10",0.0648884401093067
"11",0.321397534636476
"12",0.137369742653111
"13",0.0193157142830243
"14",0.872956512812224
"15",0.0335632219241968
"16",0.565973627102498
"17",0.599899618808354
"18",0.34973398495255
"19",0.33949131492743
"20",0.575137659907445
"21",0.193668350729479
"22",0.551030794137584
"23",0.9011877911668
"24",0.771036919960155
"25",0.961489863851605
"26",0.476186579728619
"27",0.535385193923477
"28",0.33949131492743
"29",0.170030054809862
"30",0.244342896583822
"31",0.9011877911668
"32",0.48380810895458
"33",0.44873305670788
"34",0.423571983421537
"35",0.137369742653111
"36",0.178475437898221
"37",0.32536674316599
"38",0.321397534636476
"39",0.137369742653111
"40",0.0851457627490929
"41",0.0805828388570129
"42",0.00378145486418695
"43",0.356836528059745
"44",0.137369742653111
"45",0.0851457627490929
"46",0.711646726069395
"47",0.877697304042609
"48",0.48380810895458
"49",0.565973627102498
"50",0.00189301385546184
"51",0.00378145486418695
"52",0.0328334194964229
"53",0.44873305670788
"54",0.211328534942326
"55",0.973300542385741
"56",0.536779038844538
"57",0.000244482841028817
"58",0.961489863851605
