"","x"
"1",0.193262567004448
"2",0.414273987435038
"3",0.328289047468204
"4",0.387298099834529
"5",0.642323138532853
"6",0.968269722806671
"7",0.159267948105645
"8",0.328289047468204
"9",0.543253487823209
"10",0.216055555270934
"11",0.735085409469891
"12",0.398973218165804
"13",0.157237629051051
"14",0.642323138532853
"15",0.216055555270934
"16",0.987765358437523
"17",0.658336002249886
"18",0.270710861646447
"19",0.721554709862074
"20",0.307813724414432
"21",0.435625552379216
"22",0.497756186664253
"23",0.735085409469891
"24",0.968269722806671
"25",0.301200568502625
"26",0.936100184230383
"27",0.216055555270934
"28",0.435625552379216
"29",0.216055555270934
"30",0.1702134185597
"31",0.900097625971484
"32",0.642323138532853
"33",0.600446025771243
"34",0.217267565092802
"35",0.600446025771243
"36",0.990915588801861
"37",0.936100184230383
"38",0.35048663396839
"39",0.642323138532853
"40",0.597792245614198
"41",0.398973218165804
"42",0.588691160015144
"43",0.497756186664253
"44",0.838501698325801
"45",0.157237629051051
"46",0.600446025771243
"47",0.968269722806671
"48",0.774622230964369
"49",0.244838921289435
"50",0.497756186664253
"51",0.217267565092802
"52",0.642323138532853
"53",0.374236764923424
"54",0.159267948105645
"55",0.974188467214441
"56",0.642323138532853
"57",0.497756186664253
"58",0.307813724414432
