"","x"
"1",0.132727762326454
"2",0.00393403870713401
"3",0.00315126852015081
"4",0.0129329554032251
"5",0.351857511375077
"6",0.0812355014640541
"7",0.00102089663901585
"8",0.62833700721061
"9",0.0114208002940963
"10",0.960536657391579
"11",0.334917369922132
"12",0.182119639119008
"13",0.288764734443944
"14",0.171437181057694
"15",0.0337275336653908
"16",0.00276997531859805
"17",0.872543981581004
"18",0.260641154408211
"19",0.000833311466439034
"20",0.0278875133891836
"21",0.173764526527592
"22",0.196674167122576
"23",0.164828554996814
"24",0.681618811567117
"25",0.178301109903912
"26",0.404997320303546
"27",0.00116107913580747
"28",0.906422355532639
"29",0.257412644664049
"30",0.500625565958191
"31",0.585542691658487
"32",0.12361634407017
"33",0.992830969044334
"34",0.267493659146068
"35",0.664813457112302
"36",0.193337145839887
"37",0.1069840233529
"38",0.155266382356432
"39",0.0668748787095963
"40",0.351118256004643
"41",0.0443042803698505
"42",0.932529277988716
"43",0.361892269551857
"44",0.349440954476234
"45",0.585815775938501
"46",0.785471308276125
"47",0.18055886341781
"48",0.139793771306967
"49",0.381057906485778
"50",0.0553379185690751
"51",0.734486063671966
"52",0.666349763990596
"53",0.0137769660651489
"54",0.93022471426109
"55",0.440964200296334
"56",0.460258984954315
"57",0.735548437044108
"58",0.554731686999134
