"","x"
"1",2.22002399364686e-07
"2",0.0597826343286216
"3",6.13609224512166e-06
"4",0.0011660634987014
"5",0.0569229673461288
"6",0.66602630553818
"7",2.63205714291248e-05
"8",0.00322638771157633
"9",0.0225584552755741
"10",0.000254513306517517
"11",0.0534558867959089
"12",0.520889029149605
"13",1.65493352347792e-06
"14",0.000262858341604059
"15",0.00715964231158791
"16",0.161675665123055
"17",0.244907523993631
"18",0.948908580990799
"19",0.0215440197403572
"20",0.171737521499166
"21",0.226088208489468
"22",0.308556248107649
"23",0.824045550337519
"24",0.969743225257537
"25",0.611439090549493
"26",0.0534558867959089
"27",0.0969852559659781
"28",0.0796835645950799
"29",0.044030413228006
"30",0.210118943018621
"31",0.533404770094236
"32",0.824045550337519
"33",0.26814553508381
"34",0.226602463509623
"35",0.252229486446931
"36",0.0225584552755741
"37",0.121261278693533
"38",0.0264347676956159
"39",0.0409564190203144
"40",0.00322638771157633
"41",0.00766497568588033
"42",0.00188156212200895
"43",0.635286572684152
"44",0.0278582058412135
"45",0.00392419947801935
"46",0.849227129264568
"47",0.817103404777412
"48",0.880106309908724
"49",0.682626426224408
"50",8.84699109740729e-10
"51",1.04317674302296e-08
"52",4.08251646891409e-06
"53",0.129882260637778
"54",1.11651506106665e-05
"55",0.244907523993631
"56",0.226088208489468
"57",8.01466175785188e-07
"58",0.824045550337519
