"","x"
"1",0.673498824480114
"2",0.759780924999501
"3",0.978031820939031
"4",0.978031820939031
"5",0.978031820939031
"6",0.955559152026953
"7",0.978031820939031
"8",0.918587584341036
"9",0.89721213294842
"10",0.6477109377111
"11",0.89721213294842
"12",0.673498824480114
"13",0.359970701268984
"14",0.978031820939031
"15",0.5464098552982
"16",0.560951333877057
"17",0.955559152026953
"18",0.863854322938816
"19",0.449176200960882
"20",0.863854322938816
"21",0.673498824480114
"22",0.978031820939031
"23",0.560951333877057
"24",0.640425405336815
"25",0.560951333877057
"26",0.89721213294842
"27",0.216898324236048
"28",0.359970701268984
"29",0.89721213294842
"30",0.978031820939031
"31",0.359970701268984
"32",0.673498824480114
"33",0.214601222292373
"34",0.424258763916465
"35",0.560951333877057
"36",0.978031820939031
"37",0.216898324236048
"38",0.477797692501534
"39",0.216898324236048
"40",0.560951333877057
"41",0.564621689393283
"42",0.560951333877057
"43",0.216898324236048
"44",0.978031820939031
"45",0.0613751206626285
"46",0.978031820939031
"47",0.216898324236048
"48",0.978031820939031
"49",0.169667277976469
"50",0.555938731514451
"51",0.169667277976469
"52",0.702734219170317
"53",0.6477109377111
"54",0.233665668959568
"55",0.216898324236048
"56",0.955559152026953
"57",0.169667277976469
"58",0.89721213294842
