"","x"
"1",0.0913802007298003
"2",0.22859120779908
"3",0.315883342602253
"4",0.500438759541525
"5",0.106641591806055
"6",0.297685539699381
"7",0.401386078683928
"8",0.670924995097654
"9",0.71641261379779
"10",0.0365077525994303
"11",0.0579086767890402
"12",0.297685539699381
"13",0.71641261379779
"14",0.500438759541525
"15",0.575307215913959
"16",0.18762166710213
"17",0.862035083147949
"18",0.71641261379779
"19",0.180423210483811
"20",0.115329482840808
"21",0.862035083147949
"22",0.18762166710213
"23",0.939783946158302
"24",0.515900517146919
"25",0.518526108728514
"26",0.714105049614025
"27",0.71641261379779
"28",0.50740784897338
"29",0.500438759541525
"30",0.537878777422569
"31",0.862035083147949
"32",0.71641261379779
"33",0.71641261379779
"34",0.50740784897338
"35",0.344123419291417
"36",0.106641591806055
"37",0.862035083147949
"38",0.500438759541525
"39",0.366304357962963
"40",0.515900517146919
"41",0.537878777422569
"42",0.0913802007298003
"43",0.149209933635252
"44",0.70681565057916
"45",0.680680270335419
"46",0.379088946372773
"47",0.18762166710213
"48",0.532919621138836
"49",0.240747672625185
"50",0.106641591806055
"51",0.518526108728514
