"","x"
"1",0.498189069069027
"2",0.0783081804287502
"3",0.74910343068791
"4",0.278379243804809
"5",0.436632118098457
"6",0.642947111170473
"7",0.678977865315639
"8",0.591847460868534
"9",0.846452727984606
"10",0.364252825934289
"11",0.678801600873302
"12",0.924724271887088
"13",0.128280204546282
"14",0.240103933872498
"15",0.697559722324266
"16",0.0048331838247807
"17",0.634201656555762
"18",0.535199245693039
"19",0.0480668880670463
"20",0.0885100567440137
"21",0.876448849739803
"22",0.01234194967796
"23",0.0010101080953745
"24",0.0610753781897636
"25",0.982253135306898
"26",0.000696788624230494
"27",0.00457052396184322
"28",0.95290841202993
"29",0.0154620021901526
"30",0.477232922915627
"31",0.401193469917716
"32",0.428758616221988
"33",0.838296584049076
"34",0.853968664378027
"35",0.216285908000304
"36",0.0495230150428072
"37",0.939150426426242
"38",0.0351901876350729
"39",0.142523667714286
"40",0.131742674060479
"41",0.1305162795493
"42",0.577140977023252
"43",0.994082963115264
"44",0.0283644213113071
"45",0.643313838886941
"46",0.23564411188633
"47",0.0751997714855323
"48",0.649963388142552
"49",0.880447194257226
"50",0.0520176601817771
"51",0.761773936229294
"52",0.71076218799451
"53",0.00646311346658523
"54",0.813947205614782
"55",0.817785506599574
"56",0.701445618822001
"57",0.0299617213494662
"58",0.678578778937045
