"","x"
"1",0.00970599273253307
"2",0.875196949844542
"3",0.0741748577577899
"4",0.223529501688496
"5",0.454387910315725
"6",0.76450938333147
"7",0.0280178995912523
"8",0.309667385213173
"9",0.227212008261094
"10",0.0741748577577899
"11",0.375593458029135
"12",0.407728071412422
"13",0.00212737462660548
"14",0.454387910315725
"15",0.0358739129130501
"16",0.842052703953897
"17",0.843213231221075
"18",0.752475835896135
"19",0.76450938333147
"20",0.589574278851448
"21",0.842052703953897
"22",0.0488118004891074
"23",0.284044252244589
"24",0.227212008261094
"25",0.0741748577577899
"26",0.893664321856097
"27",0.829504434248967
"28",0.787049685164362
"29",0.0488118004891074
"30",0.0224678935993309
"31",0.485039225837903
"32",0.752879948078461
"33",0.454387910315725
"34",0.227212008261094
"35",0.829504434248967
"36",0.468637472009375
"37",0.528834551787363
"38",0.528834551787363
"39",0.787049685164362
"40",0.454387910315725
"41",0.45043347049071
"42",0.956782789571289
"43",0.381972573379415
"44",0.454055913787322
"45",0.893664321856097
"46",0.569183859727428
"47",0.454387910315725
"48",0.284044252244589
"49",0.787049685164362
"50",0.123682840349098
"51",0.935136140256303
