ID,1_song1,1_song2,1_song3,1_song4,1_song5,1_song6,1_song7,1_song8,2_song1,2_song2,2_song3,2_song4,2_song5,2_song6,2_song7,2_song8
P101,0.11502,0.00023079,-0.009496,0.21931,-0.12063,-0.33077,0.043215,0.11376,-0.032428,-0.088266,0.18814,0.21325,-0.031124,-0.17354,-0.1623,-0.083298
P102,-0.087855,0.19261,0.20529,-0.1101,-0.0027168,-0.033404,-0.018343,0.17869,0.029396,-0.16637,0.065704,0.16726,-0.21966,-0.019875,-0.012526,-0.20038
P103,-0.13331,-0.013547,0.11308,-0.093465,0.22911,-0.058963,-0.04589,-0.0061797,0.057473,-0.040863,0.034377,0.28253,-0.091236,0.10519,0.13733,-0.17265
P104,0.0091639,0.075466,0.032942,-0.20017,0.1029,0.13995,0.089225,-0.22254,-0.0024193,-0.13858,-0.080026,0.1857,0.17439,0.0053241,0.09688,0.2614
P105,0.24579,0.22009,0.016675,0.10088,-0.0044359,0.017259,-0.034757,-0.011205,0.24535,-0.081938,0.22068,-0.13291,0.026203,-0.01639,0.044321,0.1645
P106,0.073907,0.10536,-0.15512,-0.26176,0.096524,-0.11817,-0.13922,0.13186,-0.14294,0.072091,0.12284,0.34593,0.0059309,-0.082337,-0.071253,-0.14328
P107,0.23266,0.098355,-0.021376,-0.073631,-0.086114,-0.090989,0.1318,0.12919,0.11306,0.050659,-0.10769,0.12912,-0.078481,0.0397,-0.10748,-0.0094766
P108,-0.0014261,-0.1414,0.063095,0.053697,0.1841,0.028133,-0.24773,-0.0047794,-0.047184,-0.086806,0.080274,-0.12453,-0.16653,-0.092763,0.072134,0.12265
P110,-0.047975,0.0012983,-0.050807,-0.093907,-0.0048121,0.025454,-0.056525,-0.023627,-0.040313,0.083821,-0.10792,0.02643,-0.11671,0.22249,-0.0026894,0.14155
P111,0.030594,0.24554,0.037713,-0.33818,0.11532,-0.27968,0.037292,0.16738,-0.044443,0.11005,0.073493,0.28962,-0.079246,-0.059884,-0.1544,0.0083665
P112,0.047714,0.24974,0.057943,-0.10108,0.071123,0.031227,-0.071968,-0.073443,-0.0015344,0.096917,-0.25912,-0.034298,-0.17556,0.0708,-0.15692,0.068955
P113,-0.17605,-0.05039,0.20905,0.17583,0.26627,-0.0023573,0.14768,0.27423,0.10047,-0.18419,-0.040131,0.35223,-0.054042,-0.23061,0.14822,0.075364
P114,0.057818,0.22082,0.16129,-0.15053,-0.057829,-0.099255,0.036162,0.051661,-0.057948,0.067293,0.15316,0.20155,-0.070516,0.056424,0.23247,-0.18989
P115,0.057507,-0.062326,-0.059151,0.089283,-0.030452,-0.11212,0.025962,-0.029847,-0.19369,0.11915,0.20455,0.016452,-0.1892,0.0046336,0.072099,-0.078436
P116,0.045613,0.18508,0.085349,-0.049116,0.036142,-0.1724,0.10849,0.038609,-0.19565,0.075718,-0.12418,0.042315,-0.017399,0.13876,-0.0011828,0.19046
P117,-0.029615,-0.036514,0.10791,0.053776,0.019567,0.011768,0.11283,0.043162,-0.014276,0.15103,0.11379,-0.0056616,-0.15133,0.22217,0.097902,0.16218
P118,0.11126,-0.031449,0.13959,0.17012,-0.027176,-0.22086,0.2452,-0.108,-0.1634,-0.010274,0.11958,0.13832,0.099765,-0.0334,-0.15926,0.21955
P119,0.16375,0.083813,0.12743,-0.015026,-0.060968,-0.057893,-0.12394,-0.068754,-0.072589,-0.089869,0.14042,0.23267,-0.0225,-0.10826,0.13001,0.28283
P120,0.027826,0.094828,-0.12172,0.029874,-0.13748,-0.015482,0.21477,-0.0013252,0.034708,-0.089793,0.14049,-0.11248,-0.16229,0.08515,0.070997,0.10132
P123,0.014947,-0.1215,0.19868,0.014432,-0.17583,-0.051613,0.058427,-0.077262,0.018498,0.0031366,-0.07098,-0.029942,-0.12307,-0.04513,0.053081,0.20311
P124,-0.099962,0.041522,0.15449,-0.03846,0.047701,0.011493,0.031391,0.1443,0.10866,0.10634,-0.14329,-0.00085285,-0.11172,0.09123,0.079431,0.21684
P125,0.012012,-0.016576,-0.11842,0.19137,0.010743,0.08477,-0.0070989,0.11333,0.025361,0.053186,-0.0081045,0.01259,-0.10258,0.13943,0.11431,-0.17236
,0.10036,0.238,-0.046133,-0.075962,-0.31228,0.037946,-0.13773,0.28473,-0.051752,0.14532,-0.19344,-0.04149,0.063623,-0.068059,0.087456,0.034692
