"","x"
"1",0.0652806306028518
"2",0.00602423467940166
"3",0.00185616477329249
"4",0.00509702526518098
"5",0.250969010341887
"6",0.192074906646993
"7",0.00026010552888697
"8",0.230053770949527
"9",0.0247308982983403
"10",0.555407318879489
"11",0.231700092954407
"12",0.153331518630848
"13",0.0825470925881329
"14",0.368032883698337
"15",0.015847891443119
"16",0.00358217049333335
"17",0.754649786431604
"18",0.680062430670187
"19",0.00235050452092101
"20",0.00526310533499962
"21",0.469825595472056
"22",0.312743384744994
"23",0.223442979490139
"24",0.449448794288141
"25",0.681974604255166
"26",0.596354554779735
"27",0.00225321345363453
"28",0.96060854504031
"29",0.306322550738398
"30",0.792253415715327
"31",0.577181002406173
"32",0.180839376825117
"33",0.971878973551504
"34",0.429208403849119
"35",0.953478923957675
"36",0.332758738383833
"37",0.115281041556259
"38",0.34444864376777
"39",0.0436025533876255
"40",0.571898893500827
"41",0.0575646598826742
"42",0.794614251102025
"43",0.467131230430656
"44",0.230876745535468
"45",0.832586347650771
"46",0.0661019282483931
"47",0.267239389229604
"48",0.66326728580616
"49",0.0114038700749642
"50",0.537276534040415
"51",0.157051425512105
