"","x"
"1",0.00452698835918022
"2",0.864173395635896
"3",0.0632186530648756
"4",0.440107744168266
"5",0.0493570369261282
"6",0.605331023695165
"7",0.0158335321518976
"8",0.793040188532014
"9",0.0234031434397227
"10",0.11100549272185
"11",0.0854622141232756
"12",0.27052092275324
"13",0.000944641379425135
"14",0.522804254021211
"15",0.0021671592996019
"16",0.468862665177695
"17",0.36354339203907
"18",0.664578387488366
"19",0.958095052073429
"20",0.814179403316494
"21",0.754725669555801
"22",0.726055514434535
"23",0.269536415623163
"24",0.854722456069376
"25",0.00934589586724811
"26",0.126440364441406
"27",0.538882070162936
"28",0.348509197359661
"29",0.0610394063428717
"30",0.826848252578993
"31",0.29498004781708
"32",0.988924969802957
"33",0.179165900671409
"34",0.915989444334909
"35",0.123078794703982
"36",0.874851463885512
"37",0.186407488996428
"38",0.1580849710824
"39",0.113070450556507
"40",0.559070301023022
"41",0.42310480389987
"42",0.791517435590572
"43",0.685420485022289
"44",0.881672641920311
"45",0.0139211772066141
"46",0.898679373442864
"47",0.132893807955197
"48",0.903877082382891
"49",0.25480756950129
"50",0.600554718119351
"51",0.0918990759543067
"52",0.211195717773971
"53",0.695906416871808
"54",0.0285492700901983
"55",0.733740501770794
"56",0.768582377618036
"57",0.457155448900069
"58",0.779517277735461
