ID,1_song1,1_song2,1_song3,1_song4,1_song5,1_song6,1_song7,1_song8,2_song1,2_song2,2_song3,2_song4,2_song5,2_song6,2_song7,2_song8
P101,0.627238347,0.751162556,0.675579482,0.66799262,0.866336136,0.272266793,0.44111144,0.603700249,0.454518655,0.525377119,0.518858768,0.273448312,0.426092154,0.296018526,0.30970006,0.503109673
P102,0.649289292,0.647486139,0.665887329,0.311641405,0.412192723,0.303996693,0.392283551,0.823825009,0.495615333,0.696011844,0.931015195,0.31063088,0.567439452,0.411498411,0.51535669,0.493069797
P103,0.777148722,0.519555542,0.778856433,0.290966482,0.710563662,0.086382727,0.468857684,0.065628898,0.431915899,0.115400022,-0.089624248,0.140588635,0.153315042,0.141775671,0.193213909,0.055893706
P104,0.240066751,0.58263929,1.102070331,0.505352708,0.516179123,0.22238112,-0.03871658,0.740011757,0.748142379,0.883284657,0.203936122,0.495628897,0.34563229,0.287306697,0.380199761,0.340263995
P105,0.834675458,0.182173537,0.518490712,0.272911889,0.628332758,0.316695598,0.372438375,0.505393039,0.328878354,-0.110921804,0.290006663,0.325684694,-0.011133887,0.1179444,0.254491819,0.073129418
P106,0.738122714,0.455346108,0.759570368,0.241004813,0.296522637,0.105962047,0.244108969,0.588840513,0.085063428,0.112255464,-0.34974345,-0.180026448,-0.063527186,0.115823812,-0.004582577,-0.091981419
P107,0.059294497,0.561483044,0.45479206,0.462971442,0.283057247,-0.235398829,0.128090802,0.187499089,0.579172798,0.643389297,0.16563194,0.1253234,0.054039087,0.240942181,0.010801698,0.26797316
P108,0.672201564,0.754114485,0.239976045,0.285769923,0.566100137,0.739990461,0.272130397,0.606997478,0.183367666,0.364758571,0.28279321,0.243039886,-0.066042901,-0.138756398,0.121161411,-0.080739281
P110,0.896173587,0.831027171,1.120449173,0.623275451,0.637012381,0.527538256,0.69741649,0.915691673,0.533594623,0.760526875,0.959060652,0.510258269,0.590944278,0.346138213,0.472765724,0.509218677
P111,0.610196944,0.832518412,0.939939851,0.547237195,0.547430788,0.317000503,0.38043672,0.428642623,0.53453808,0.466827077,0.58737439,0.622337187,0.318511564,0.166919958,0.413178387,0.514409886
P112,0.251769504,0.49711028,0.698401562,0.211304029,0.51090499,0.393601994,0.444118116,0.244073624,0.238338751,0.43853037,0.572970009,0.519994304,0.167850718,0.148558352,0.237719369,0.234326345
P113,0.854196404,0.924925172,1.249175212,0.585779324,0.850893194,0.278691448,0.548385114,0.716955351,0.116825373,0.356121104,0.286459735,0.038610127,0.19294384,0.147447361,0.240575911,-0.153858381
P114,0.75112137,0.959688125,0.859821568,0.473495862,0.771413192,0.569103683,0.44603332,0.383011614,0.768839147,0.825078034,0.889083392,0.1876023,0.152251895,0.607902109,0.306190737,0.282444411
P115,0.684257172,0.700702856,0.775291841,0.603417234,0.360366355,0.434379115,0.427578696,0.60463303,0.09526745,0.106285621,0.177726964,0.546742682,0.129192371,0.23322498,0.267450491,0.131165301
P117,0.427777767,0.574143435,0.668414507,0.242475181,0.391896285,0.228374607,0.262761069,0.575895417,0.108172702,0.280618909,0.329560563,0.237804216,0.371857607,0.491714071,0.354096487,0.184427805
P119,0.760924942,0.879173678,0.947663768,0.616643097,0.770725655,0.277175328,0.176608562,0.537747172,0.2429943,0.638190977,0.698368859,0.535671984,0.446550179,0.042259412,0.268679073,0.480957784
P120,0.710374829,0.929582917,1.009836427,0.748041463,0.662465302,0.472706675,0.655363908,0.598919053,0.474136233,0.484716785,0.630132298,0.190763482,0.397951007,0.166320006,0.278823083,0.546292601
P123,0.067248017,0.037124316,-0.195934118,0.059790927,-0.085343166,0.045408799,0.27652863,-0.089377427,-0.082834054,0.006412101,-0.05540782,-0.094923991,-0.202232507,-0.127499026,0.065098784,0.210210708
P125,0.548914199,0.580385927,0.609346695,0.264933359,0.236217895,0.450104966,0.252272467,0.661195998,0.614216962,0.173089493,0.344887211,0.364659492,0.425996503,0.076020166,0.378804622,0.070829029
