ID,1_song1,1_song2,1_song3,1_song4,1_song5,1_song6,1_song7,1_song8,2_song1,2_song2,2_song3,2_song4,2_song5,2_song6,2_song7,2_song8
P101,-0.068148556,0.089340891,0.155074036,0.262231269,-0.10331821,-0.235476559,-0.02307403,0.04984895,0.16857816,-0.168761901,-0.087076695,0.263356772,0.096369973,0.050819951,-0.089536688,-0.04162606
P102,-0.216768874,0.04320778,0.207578114,-0.122068021,0.086946579,0.15771807,0.054994219,-0.018735782,0.200747253,-0.000211977,-0.177522176,0.004824248,0.015860826,0.013244604,0.089481577,-0.224553297
P103,-0.095562448,0.120395402,-0.053999245,0.122238309,0.121636196,0.044460389,0.031995606,-0.143843486,0.24056483,-0.123703774,-0.160393559,0.395338604,-0.129974864,0.228443857,0.024938011,0.044780007
P104,-0.11148147,0.141817568,0.1880146,0.123904113,0.049931217,0.130596087,0.017298055,-0.069647074,0.158966344,0.233811662,0.042744384,0.146275364,0.09850468,-0.155754253,0.123609547,0.00166257
P105,0.05793659,0.013507049,0.236599274,-0.034137476,0.147064816,-0.283450044,0.104610328,0.025801168,0.204148183,-0.095210533,-0.158495746,0.034161054,-0.078511507,-0.123737375,0.036030825,0.108751268
P106,0.194558582,0.121264167,-0.112223052,-0.269688761,-0.002305418,-0.011496558,-0.078637241,0.152069872,0.060629105,0.065685881,-0.110197479,0.192868865,0.052894118,0.070925037,0.063119358,0.035164081
P107,0.28387489,0.166120787,-0.0934077,0.027675441,-0.173606777,-0.044938926,-0.01019628,-0.002721553,0.264271375,-0.004181163,0.003742088,0.012284263,-0.256931305,0.283357115,-0.215305087,0.120827057
P108,0.053191701,-0.006985466,-0.004145054,0.008783372,0.102212635,-0.171091729,-0.125734716,0.0587521,0.1485477,0.058976273,0.111705498,0.122535105,0.005841935,-0.095840215,0.134423799,0.108521612
P110,0.01269588,0.170227035,0.251996067,0.272614917,-0.176693948,0.201533679,-0.043179111,-0.011916651,-0.034022633,0.139698585,-0.120132747,0.158896491,-0.243534945,0.357496495,0.080514315,0.188451155
P111,0.155666556,-0.114991243,0.156969808,0.005837033,0.114642489,-0.059192372,0.097428499,0.184270928,0.13744419,0.143108652,0.032071078,0.195984502,-0.092189534,-0.061509966,-0.0212735,0.30287738
P112,0.146977511,0.255317671,0.223936364,0.123599248,0.12323315,-0.085267607,-0.055503468,0.036689769,0.143094956,0.028303935,-0.235049632,-0.054353124,-0.047024251,-0.168183916,-0.020193239,-0.205953979
P113,0.06061001,0.049476877,0.092642641,0.18796638,0.246796935,0.166451063,0.270728269,0.137830697,-0.056710699,-0.091675668,-0.102360692,0.010709463,0.051373692,0.108930692,-0.007131703,0.177359345
P114,0.229225584,0.213766736,-0.148935095,-0.059396355,-0.052909881,-0.020063029,-0.15510603,0.207754031,-0.080995972,0.363568508,-0.197103804,0.002288167,-0.079234613,0.352473174,0.049606077,-0.304870976
P115,0.03705445,0.026778921,0.03852835,-0.038057971,0.002533387,0.17847744,-0.102970601,0.033558655,-0.293859359,-0.159101989,0.127717157,0.298037451,0.132054219,-0.028030658,-0.164307451,0.037935122
P117,-0.023138413,-0.166457576,0.040834798,0.027779587,-0.137751383,0.131552972,0.02596423,-0.235467103,-0.222710919,0.036883352,0.123279374,-0.050700035,0.035871419,0.085880825,0.098266739,0.029236936
P119,0.065033775,0.004826104,0.28901248,-0.027019528,-0.001687459,0.106868864,-0.210716163,0.08657019,-0.201023091,0.028626304,0.179247048,0.246264916,-0.119988276,0.051886544,0.331605681,-0.018070086
P120,-0.060855575,0.161640919,0.234334865,0.058959615,-0.126294379,0.000163543,0.282680416,-0.169810834,0.019738827,-0.098856539,0.063895313,-0.044632788,-0.038270243,-0.065894535,0.023428704,0.151140374
P123,0.07243454,-0.048693037,-0.004292546,-0.026692597,0.052940655,0.111169565,0.1223205,0.079797579,0.230386639,0.074775477,0.020920145,0.076204287,-0.066898944,0.085563754,0.072192411,0.22104569
P125,0.28508243,0.232818612,-0.090720658,-0.065125667,-0.035641742,0.162378394,0.10180906,0.152588454,-0.002545367,0.089886553,0.005575735,0.000999858,-0.073438859,0.086744555,0.176427736,0.252767245
