ID,1_song1,1_song2,1_song3,1_song4,1_song5,1_song6,1_song7,1_song8,2_song1,2_song2,2_song3,2_song4,2_song5,2_song6,2_song7,2_song8
P101,0.069233,0.075069,0.012338,0.029495,0.23929,-0.11416,0.062391,0.1633,-0.0063486,-0.14053,0.21755,0.039042,0.042176,-0.013805,-0.057008,0.087045
P102,-0.034758,0.057701,0.06853,-0.0020197,-0.00095873,-0.0065599,-0.086099,-0.12064,0.071899,-0.097865,0.20997,0.059919,0.018696,0.12427,0.14817,-0.063102
P103,-0.14977,-0.13578,-0.051118,0.013422,-0.085559,-0.13434,0.11552,-0.056153,-0.096481,-0.11293,0.11682,0.24609,-0.025893,-0.044,0.093722,-0.3569
P104,0.063545,-0.24181,-0.0059279,-0.13628,-0.027373,0.062957,0.10273,-0.20924,0.035766,-0.18574,-0.094833,0.34431,0.055229,0.12144,0.17564,0.064706
P105,0.22099,0.21694,-0.15754,-0.075066,-0.060669,-0.091569,0.13221,0.14296,0.23988,-0.10141,0.12816,-0.097354,0.0086292,-0.0077494,0.071861,0.1312
P106,0.095015,0.030266,-0.10876,-0.18701,0.086206,-0.16955,-0.14432,0.078014,-0.11074,0.15555,0.041428,0.031945,0.12854,0.098561,-0.28375,-0.18393
P107,-0.00031778,0.22876,0.020405,-0.0062172,0.21398,-0.12962,0.22974,0.23573,-0.013668,0.054199,-0.12516,0.32826,-0.1007,0.16396,-0.11259,-0.097763
P108,-0.051826,0.0053037,0.19428,-0.20423,-0.068393,0.14811,-0.0053079,0.059616,0.047782,-0.036502,-0.059555,0.13536,0.0041194,-0.048128,0.10986,-0.058217
P110,0.031205,-0.039561,0.092472,0.17582,-0.11207,0.0071294,-0.086294,0.030961,-0.094722,-0.019776,-0.040965,0.1159,0.04251,0.14936,0.19813,-0.073183
P111,0.17464,-0.081579,-0.033688,0.07833,0.029504,0.14699,0.091527,-0.050472,-0.25474,-0.025218,-0.080825,0.28811,-0.12465,-0.1287,-0.14209,-0.26647
P112,0.18458,0.19591,0.14316,-0.27065,0.040272,0.15517,-0.033308,-0.062028,-0.13774,0.040106,0.16644,0.043245,-0.27781,0.27581,0.14534,-0.075676
P113,-0.060652,-0.11495,0.083732,0.082124,0.15623,0.15899,0.013478,0.082523,0.13205,-0.11319,0.10341,0.088512,0.088348,-0.19596,-0.11897,-0.10099
P114,-0.04176,0.03146,-0.054029,0.0011924,-0.19732,0.17145,0.026045,-0.020453,-0.14056,0.026588,0.24941,0.013322,-0.10836,0.06083,-0.10751,0.11216
P115,0.065169,0.15064,-0.12609,0.081747,-0.14914,-0.096456,0.049933,0.087045,-0.069763,0.14419,0.054644,0.075,-0.0021163,-0.12925,-0.041187,-0.1273
P116,-0.19316,0.22175,0.080793,0.12508,0.014575,-0.044741,-0.0043525,-0.081425,0.11847,0.083765,0.098212,-0.086545,0.14318,-0.0068175,-0.19287,-0.25654
P117,-0.045788,-0.10956,0.1728,0.010233,-0.14317,-0.13606,0.29126,-0.1065,0.00020264,-0.11953,0.13104,-0.048595,-0.041497,0.20711,0.141,0.091928
P118,0.22537,0.0031445,0.029003,0.059848,-0.018948,-0.16642,0.38213,-0.25914,-0.06284,-0.07558,0.23184,0.060457,0.080811,0.066817,-0.315,-0.10853
P119,0.21735,0.10472,0.017813,-0.1351,-0.062257,-0.022489,-0.082705,-0.080904,-0.098293,0.0083148,0.074191,-0.11067,0.18511,-0.27599,-0.018613,0.014404
P120,0.065495,-0.13019,-0.01759,-0.059229,0.055378,0.010142,-0.17281,-0.25695,0.12146,-0.007093,-0.087229,0.050038,-0.077198,0.011908,-0.094948,0.090802
P123,-0.023401,-0.052771,0.059251,-0.13116,-0.11127,0.0036391,0.17755,-0.11359,-0.23873,-0.010773,-0.036704,0.23995,-0.10253,-0.089228,0.18726,-0.017462
P124,0.18669,-0.12693,0.19456,0.26321,0.099076,-0.027473,-0.01146,0.12975,-0.091248,-0.090876,-0.048589,-0.036381,-0.12661,-0.069533,0.21475,-0.033941
P125,-0.070154,-0.08228,0.078553,0.051069,-0.058165,-0.06825,0.10443,0.096208,-0.044533,-0.00025358,-0.016292,-0.10406,-0.07992,0.22295,0.066541,-0.077774
,-0.0056508,0.25947,0.081991,-0.048325,0.0969,0.060184,-0.15416,0.10513,0.15685,0.026506,-0.074087,0.084285,0.082658,0.066526,0.30563,0.19524
