ID,1_song1,1_song2,1_song3,1_song4,1_song5,1_song6,1_song7,1_song8,2_song1,2_song2,2_song3,2_song4,2_song5,2_song6,2_song7,2_song8
P101,0.095618163,0.06551252,-0.114973568,0.056523724,0.12544169,-0.272658064,0.007661586,0.208353762,-0.110675363,-0.141071999,0.088163593,0.043204737,-0.085502415,-0.028279373,-0.007968159,0.113436879
P102,-0.059342667,0.015554957,0.039927337,0.021226984,-0.214586271,-0.017999877,-0.00911441,-0.058424881,0.059732077,-0.049069089,0.210038646,-0.139553383,0.122900755,-0.072097566,0.060868162,0.020592486
P103,-0.119254335,-0.160709406,0.015891501,-0.02348768,-0.057402252,0.038823905,0.29473234,-0.130707769,-0.12724561,-0.228428875,-0.134570652,0.25943303,-0.065426687,-0.1003599,0.250192217,-0.245127734
P104,0.014205712,-0.17378386,0.03535055,-0.084552061,0.122922556,-0.017786482,-0.038815235,-0.022373348,0.126734611,-0.194035199,-0.090800375,0.193513075,0.184067407,0.120783187,0.256045221,0.070785798
P105,0.114343879,0.07643536,-0.067163233,0.022970625,-0.004628409,-0.132907933,0.266804883,0.129033895,0.130046785,-0.227507099,0.056383645,-0.099581265,0.001091351,0.048719634,0.119026299,0.008069244
P106,0.049092092,-0.0426846,-0.126232364,-0.22180322,0.036981817,-0.052392375,-0.144687449,0.171917835,-0.100891943,-0.036321423,-0.00742164,-0.13211941,0.09933634,0.135151301,-0.178221377,-0.025141025
P107,0.018046319,0.170687253,0.077937938,-0.00288299,0.115099065,-0.098565489,0.164439425,0.132708599,0.027279459,0.082756706,-0.007184459,0.141870434,0.012130875,0.109151269,-0.126109428,-0.090827906
P108,0.005391484,0.097256995,0.119935014,-0.126220042,-0.050749805,-0.038168169,-0.037651067,0.28819486,-0.076920791,-0.078099569,0.090763315,0.164664362,0.024774298,-0.128104589,0.025514421,0.004036104
P110,0.191352337,-0.08436029,0.118200248,0.061228465,-0.057806402,0.100454855,-0.051684725,0.086642257,-0.024424738,-0.093754516,-0.07922877,-0.024326522,-0.123676078,-0.076260574,0.017958785,-0.045776834
P111,0.061934594,0.036070064,0.057874408,-0.04841959,-0.028979914,-0.055198067,-0.001144606,0.005360619,-0.34887432,-0.04458106,-0.113298809,0.307984034,-0.113537807,0.0300852,-0.024675091,-0.278688309
P112,0.023067551,-0.006677239,0.068098822,-0.152139977,0.025486832,-0.034128329,-0.158495349,0.130961749,0.075837375,0.03100368,0.186457158,0.096483517,-0.03780822,0.261417141,0.043769545,-0.044277667
P113,0.006805379,-0.171117632,0.053497809,0.202826545,0.155275426,0.021656601,-0.008248898,0.112060956,-0.040461359,-0.016358235,0.070174375,0.066379084,0.036616392,-0.112203673,-0.008006736,0.073725128
P114,0.234502578,-0.109861672,0.087727948,-0.070067308,-0.176995629,0.084555061,0.081184709,-0.068817119,-0.153003455,-0.095588983,0.186737166,-0.015620164,0.058999534,0.174665634,-0.122196984,0.025570031
P115,0.020479933,0.048658638,-0.124759034,-0.173701598,-0.112691872,-0.042631034,0.082344588,0.069818907,-0.086409337,0.136058935,0.064598002,0.174239181,0.165738694,0.060971351,-0.081775919,-0.062302146
P116,-0.213172223,0.297960398,0.150844428,0.036960046,0.089444441,-0.135020495,0.013937218,-0.081516035,0.120620196,0.085302743,0.135454753,-0.090783588,0.180862512,0.15663621,-0.135490615,-0.197069842
P117,0.004106828,-0.073554045,0.242691837,-0.024876914,-0.053747211,-0.169768932,0.218388539,-0.094943414,-0.00079544,0.041426697,0.139698724,-0.031130087,-0.049337484,0.085985545,0.087178279,0.113047528
P118,0.234818429,-0.037139868,0.021868432,-0.135265238,-0.065866484,-0.355455811,0.289595172,-0.101055905,0.014113205,-0.092665151,0.275114367,0.151507381,0.069323815,-0.022622922,-0.138525894,-0.178746157
P119,0.090424966,-0.03808491,-0.149485853,-0.236752456,0.141190735,0.054907016,-0.11823291,0.047762578,-0.041736138,-0.020190808,0.072807801,0.003396094,0.063192393,-0.065282937,0.056930932,0.033758953
P120,-0.188498692,-0.019139654,0.124937502,0.181287753,-0.147775297,-0.009803014,-0.016131074,-0.263548222,-0.078135476,-0.041432892,0.008871116,-0.03010336,-0.017338104,-0.149856425,0.017867197,0.237643817
P123,0.29300226,-0.084050473,0.199796461,0.136684829,-0.036161134,0.140071808,-0.006783737,0.137522757,0.125509815,0.156705921,-0.070747423,-0.035565663,0.067007907,0.044518334,0.170335541,-0.008319106
P124,-0.01655841,0.056517811,0.077556775,0.08027385,-0.082286214,-0.106975822,0.034351234,0.138381426,-0.015227102,-0.055690441,-0.057683359,0.064251072,0.00871338,0.213921071,0.089697746,-0.018572048
P125,-0.017347077,0.171051686,0.029550902,-0.00937493,-0.10663563,-0.018381202,-0.106014641,0.233128741,0.119104574,-0.096987298,-0.001864345,0.129516885,0.143878197,0.198768803,0.081333046,0.010944127
